date,KICL,WO_HARD,WO_RL_COMPLETION,WO_REGIME_SPLIT
2025-06-20 00:00:00,1.0,1.0,1.0,1.0
2025-06-23 00:00:00,1.002224484197793,0.9958864551327148,1.002224484197793,1.002224484197793
2025-06-24 00:00:00,1.0281542413703784,1.0319387793843324,1.0281542413703784,1.0281542413703784
2025-06-25 00:00:00,1.0430737996777706,1.0617464519004869,1.0430737996777706,1.0430737996777706
2025-06-26 00:00:00,1.0576391580722615,1.0778579308850775,1.0545910691637732,1.0577972998939806
2025-06-27 00:00:00,1.0611043392588249,1.0833843386610114,1.0491873035612806,1.0623180886014432
2025-06-30 00:00:00,1.0805546946111364,1.0999828332956012,1.0648612212945547,1.0846596429223476
2025-07-01 00:00:00,1.065627939442677,1.0881749134656655,1.0563835114599864,1.0704619111072065
2025-07-02 00:00:00,1.0865993920544117,1.1086800577815017,1.0769244753893148,1.0922855751811027
2025-07-03 00:00:00,1.0996352840365375,1.121308974838632,1.0882554980151773,1.1058860323382798
2025-07-07 00:00:00,1.0920440403263678,1.1163346496797084,1.0807428137422244,1.0982516370901243
2025-07-08 00:00:00,1.0921962208676788,1.1227871992547735,1.080893419414102,1.098404682683943
2025-07-09 00:00:00,1.1094167650530509,1.134075615911459,1.0979357535048675,1.115723115040861
2025-07-10 00:00:00,1.1341468703922175,1.1467250350875622,1.1224099346197658,1.1405937957746108
2025-07-11 00:00:00,1.1376009430772605,1.152137731653358,1.1267541313672431,1.1459000257021896
2025-07-14 00:00:00,1.15308920175714,1.1694273701792193,1.143065831430781,1.1617306353494594
2025-07-15 00:00:00,1.1571782663121484,1.1670039320896026,1.1437330926772384,1.16392136876686
2025-07-16 00:00:00,1.1795808696958727,1.1955089170257702,1.1584953819092438,1.1838171831468336
2025-07-17 00:00:00,1.1988211211070758,1.207546016168348,1.1757919384348836,1.202014398625946
2025-07-18 00:00:00,1.2024628510717978,1.2165493117791808,1.17821908177755,1.2058311948863143
2025-07-21 00:00:00,1.1814379236124068,1.2002380021545394,1.1618518628894483,1.1890896259663084
2025-07-22 00:00:00,1.1582184777368834,1.181691057675508,1.1429741517496734,1.1651630324938378
2025-07-23 00:00:00,1.17986726768682,1.19408454668244,1.1656813815415794,1.189576710400034
2025-07-24 00:00:00,1.186640036227813,1.1936025695743493,1.1744817370074458,1.2002192434754493
2025-07-25 00:00:00,1.1981940258870925,1.2066630703006274,1.1873070249981723,1.2157637859605008
2025-07-28 00:00:00,1.2094466702187288,1.2216804763091382,1.1961984332459676,1.2249146053333475
2025-07-29 00:00:00,1.2201200135256411,1.233016174649324,1.203471774639489,1.2303959651493477
2025-07-30 00:00:00,1.222307189573958,1.2362700649446683,1.206964626457681,1.2356163727866196
2025-07-31 00:00:00,1.219685345245536,1.2354616356424708,1.2097237411780537,1.2357368091125698
2025-08-01 00:00:00,1.1795511013563444,1.1917067149752163,1.1674487793795838,1.1903352366724511
