date,full_modified,bc_only,iql_modified_only,bc_plus_vanilla_iql,train_v2,baseline
2023-09-25,1.0,1.0,1.0,1.0,1.0,1.0
2023-10-03,0.9918235264745175,0.9846211980871792,0.9992843498597348,1.0056864769630185,0.9860272823141693,0.987476581903952
2023-10-05,1.0462162707564882,1.0386189583868684,1.0540862542873286,1.0067362261361954,1.04010215389198,1.0416309347401425
2023-10-12,1.0322432559733632,1.0204509816100944,1.0523109307166354,1.0340293895368726,1.0254537791772786,1.031056009902376
2023-10-17,1.0736992009696595,1.0561097617021569,1.110150137876248,1.0297355627344513,1.0613275745597968,1.0580858374857678
2023-10-19,1.0491662350273967,1.0518791277916244,1.0899557987935031,1.0190285445630285,1.0418075620216225,1.0413883474650834
2023-10-27,0.9972824988040362,0.9996448728121766,1.0368459036796296,1.0284877033694944,0.9900734412501584,0.989675044066508
2023-11-09,1.0136297042825142,1.022626982298057,1.075421483202032,1.0633272421555549,1.0022061291376363,1.010436449039975
2023-11-17,1.0770129490534244,1.069443311438902,1.144640338449878,1.0683884191970807,1.0616791842698476,1.065864673751686
2023-11-29,1.1222447174550887,1.114357174567686,1.1927122829306496,1.0690605891850415,1.10626697406566,1.110628243319744
2023-12-01,1.1141210914697608,1.109072789613996,1.188006363084486,1.0775668040728805,1.0982590066433588,1.1025887058488693
2023-12-08,1.1233554972395785,1.1149949012258435,1.1877215194739854,1.0750211342358467,1.1043328328038386,1.1039750406449884
2023-12-12,1.121760026498943,1.1049797682923812,1.1841028129088191,1.0767011239697566,1.100332459657602,1.1040967288699683
2023-12-13,1.1326903405539177,1.1161475598706687,1.1958367754600852,1.0938781241960622,1.1091198262735404,1.1190710143653673
2023-12-19,1.1603734405021806,1.137910561041506,1.2283651503922384,1.0943703863526923,1.1363706825817996,1.1432843505081358
2023-12-29,1.162842727045163,1.1081513771440217,1.1989045104198646,1.0785687804971618,1.1382764213864374,1.146531168538812
2024-01-05,1.108639750305357,1.0577863976404391,1.145260810341386,1.1002815526966563,1.087780410921407,1.0897838243253284
2024-01-19,1.2198599684172913,1.1316657063907043,1.2067580398382505,1.1022220723235965,1.1969079922905983,1.1991123907987356
2024-01-23,1.2153437111206689,1.143094720791885,1.2133863660374578,1.1025183324229861,1.192476709525757,1.1946729467439876
2024-01-26,1.2114375728475066,1.1008639729923366,1.2176526950541078,1.1084711013751454,1.191740912343173,1.198283011248051
2024-01-30,1.2311310104768034,1.121708189043042,1.23750639818689,1.1080015865866477,1.2133680769629946,1.2239607459289186
2024-02-05,1.2294030619248286,1.0550632482935502,1.1639814463412212,1.1155832072820846,1.2116650594987617,1.222242861170429
2024-02-07,1.2674722702342915,1.0812193851711407,1.1923075793345592,1.1123968284883896,1.2491849998502496,1.2600903495391345
2024-02-21,1.2581904496202412,1.1136254071589824,1.2301206986978024,1.1292630029327615,1.2517968927899628,1.2654010869046095
2024-02-22,1.3264498171194992,1.160441665567812,1.2681562274053158,1.1444589040307194,1.3146182969472784,1.3239395273548469
2024-03-01,1.370113019604971,1.1625959486903452,1.2706631919655202,1.1310533025520184,1.3721504217395204,1.376768117238225
2024-03-06,1.3461778464580545,1.13776203262009,1.2512232309180005,1.1353031109359928,1.343437175688598,1.341005561972514
2024-03-19,1.30050995507657,1.0894188427550917,1.2794062998967013,1.1488076951098907,1.3152559490197946,1.3201246187409328
2024-03-28,1.345237024860494,1.1282579934288102,1.3226023910218574,1.1298531352987355,1.366987799414914,1.3624745749274838
2024-04-03,1.319428748103728,1.0863892404488282,1.3062799578129158,1.1292493596735669,1.338783262301805,1.331458129416251
2024-04-04,1.3153171003398891,1.0784512412690122,1.3122283359994635,1.1473737019684935,1.3338632942270596,1.3218407099371152
2024-04-09,1.340234710186933,1.0976727823055477,1.3449275123837934,1.1185001187107433,1.3567111072449507,1.3453614138692065
2024-04-17,1.2470296085643189,1.0254564877880734,1.2022105227128357,1.105695473129716,1.261422432013334,1.253573618623504
2024-04-19,1.1562891789856156,0.9931791096853346,1.178762566475405,1.1333587417971251,1.1696347049417366,1.1623570124730018
2024-04-24,1.2130963490696112,1.0412749876096203,1.2390202873083465,1.1581651814651452,1.2267884912872489,1.2090304832648722
2024-05-02,1.277800121455218,1.1142460358123556,1.327993999395458,1.1676877938982853,1.2920829606549615,1.274781545117564
2024-05-03,1.298746541778694,1.132437294397626,1.353805445197923,1.175204947204161,1.3099058186036,1.2860101025664326
2024-05-14,1.3157181455417484,1.1537041174493674,1.3906927123287955,1.1607990210561274,1.3241748144635888,1.299848664057898
2024-05-16,1.3252671801761775,1.0239469909694463,1.284904036819683,1.1657045328689684,1.333930875662214,1.3079427428877812
2024-05-28,1.4125521369516971,1.0893649232126603,1.3675874521906906,1.1822722612557957,1.4179292841885007,1.3922797266419968
2024-06-03,1.4370834428723425,1.0997732586380564,1.3774943490477385,1.1926799605682565,1.4423041992294354,1.4165118645848582
2024-06-06,1.4446183496982197,1.1073720623804204,1.3871491846441195,1.187397863290086,1.4553500626880116,1.4204614249256038
2024-06-11,1.4161819145578916,1.0833999040869209,1.3571204698510924,1.2012872094488865,1.426954047510398,1.3936829033864742
2024-06-13,1.4860121628371428,1.1299393983903296,1.4114978886116596,1.1988664913925926,1.497856075005143,1.4618205292737096
2024-06-14,1.4812365990741687,1.1258044068531297,1.4106529529116134,1.199843274393911,1.4930424487288356,1.4568119761786438
2024-06-21,1.5211701148571222,1.1297237725718317,1.422368089797299,1.1902465021979902,1.5312296649977069,1.4978454521103188
2024-07-29,1.420874157003458,1.0242718861084832,1.339963861385154,1.1620003942485786,1.4475449163337304,1.375224975845582
2024-07-30,1.4131857085459285,1.0187294800030404,1.3327132241401645,1.169639002717581,1.4397121505505437,1.3677835382684531
2024-08-01,1.4251622849075811,1.0373624042684664,1.3531512418325489,1.1199701396144264,1.462854244355947,1.3685378978262115
2024-08-05,1.3260038299356016,0.9632775627514936,1.2509835138452192,1.1266903012755645,1.3566684825954636,1.2776522291778
2024-08-06,1.3434047202332016,0.9759184668101132,1.2673999271293226,1.167296836103413,1.3744717791643744,1.2944186108250435
2024-08-16,1.4247196201974135,1.0680721652937697,1.4030554294916555,1.1739156742899253,1.455200848398411,1.3466732031056812
2024-08-19,1.4465934379094392,1.084098391097287,1.423902038286495,1.1781034654664948,1.4776353880508355,1.3689141237979372
2024-08-21,1.4529691567775729,1.100318536152765,1.459698828034793,1.0962850310427341,1.4861234653690327,1.379137079741657
2024-09-06,1.3515966207481935,1.020802258597825,1.327090550015866,1.1323826410203328,1.3867630547600696,1.3032378207116146
2024-09-16,1.414428734986792,1.028980611293003,1.400563380258898,1.1331708501754199,1.4337032409772148,1.350949676535545
2024-09-18,1.4168256884317332,1.0288621543100078,1.3979393908385125,1.1497171692766999,1.433578152910558,1.349269180618379
2024-09-19,1.4528827736851064,1.0567778701740709,1.4418581336916927,1.1523165048712642,1.47140777465135,1.3686876062934266
2024-10-07,1.4312771595039586,1.034199660605048,1.4079116840259345,1.1673096959896774,1.4516066814498585,1.3453600513599715
2024-10-22,1.4505036250548051,1.0742736677041569,1.4543110712576113,1.1626394756010243,1.4686057050792816,1.3478063305140655
2024-10-31,1.3949797105031982,1.0331288467817787,1.3935465495640071,1.1786947502347298,1.4111619540338107,1.2954115362725296
2024-11-06,1.4044120864682113,1.0128657461148445,1.4067647246488966,1.173387368091691,1.4024065433258304,1.315514470828365
2024-11-18,1.4451867719619325,0.99230526591641,1.3593482394671708,1.211267946124149,1.444722166996778,1.359517336305285
2024-11-22,1.4558038413849506,1.042905178919839,1.434915391963291,1.2210830742355183,1.4675318562862292,1.3614362240567308
2024-11-29,1.4490127794267516,1.052342207937209,1.458666533720271,1.2337280150397956,1.4621223716728105,1.3542736026316962
2024-12-05,1.499833205011745,1.0911061431606792,1.505943607439689,1.2356982833513157,1.511271068687534,1.3880376965140282
