date,full,bc_only,iql_modified_only,bc_plus_vanilla_iql,iql_vanilla_only,baseline,SPY
2023-09-25 22:47:40,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2023-10-03 20:32:53,1.0548411533236504,1.0548411533236504,1.0548411533236504,1.0056864769630183,1.00560881668992,1.0548411533236504,1.0
2023-10-05 23:22:23,1.0493595295129854,1.0362415267187455,1.0528278451688526,1.0067362261361954,1.007158972405702,1.051671051973158,1.0069024495063614
2023-10-12 00:36:56,1.0864525887254246,1.0729711743253276,1.1110565982626073,1.034029389536872,1.037015591136991,1.0808218434761299,1.028629728952451
2023-10-17 23:44:00,1.0669263643289923,1.0686555330121246,1.0911000848383308,1.029735562734451,1.034740514835284,1.06756484098424,1.0342275499919975
2023-10-19 01:15:24,1.0139343547302302,1.015510675205053,1.037856169086396,1.0190285445630283,1.0234494274691937,1.0144742239226119,1.0114803396189018
2023-10-27 01:37:14,1.0592820153548368,1.0398709772546877,1.076946042354318,1.0284877033694941,1.0368747105903138,1.0591878738712062,0.974121768170786
2023-11-09 19:58:37,1.1317407947832343,1.0876158779035,1.1457843566546764,1.0633272421555549,1.071615093698066,1.1280027966015327,1.0290566666818677
2023-11-17 00:52:14,1.1792709900076903,1.133292940393655,1.1939043452668703,1.0683884191970803,1.0762295857634379,1.1753760055406626,1.0692616344331576
2023-11-29 01:47:33,1.1776778832065427,1.128045830658307,1.1893273407460132,1.069060589185041,1.0787020672386358,1.1757268448457088,1.0783225154783025
2023-12-01 00:20:04,1.1731772019603868,1.1338543322268018,1.1889200210512574,1.0775668040728803,1.090008159082577,1.1928312756820663,1.0889727225300714
2023-12-08 02:09:52,1.1686597332788233,1.131565540911108,1.1908020071089034,1.0750211342358464,1.087151332789547,1.200260215836664,1.0915819070768364
2023-12-10 19:27:50,1.1553622942108426,1.124903370321854,1.179232556883727,1.0722021448650272,1.084009355701148,1.1930300779069734,1.0915819070768364
2023-12-12 00:51:57,1.1664828952652302,1.136272525173009,1.1909182569589345,1.0767011239697564,1.0894458843324328,1.2104424314955218,1.1008325864818538
