date,bc_plus_vanilla_iql,iql_vanilla_only,full_modified,train_v2,baseline
2024-05-14 12:00:55,1.0,1.0,1.0,1.0,1.0
2024-05-18 12:00:45,1.0,1.0,1.0,1.0,1.0
2024-05-19 15:00:27,1.0338499960773917,1.0351567327797593,1.0570973942098159,1.0571654482434194,1.0470239430666881
2024-05-25 18:30:47,1.0338499960773917,1.0351567327797593,1.0570973942098159,1.0571654482434194,1.0470239430666881
2024-05-26 13:00:39,1.028691867639952,1.0311983708455617,1.046317130869415,1.0490678831465072,1.0439740741325778
2024-06-01 12:01:05,1.028691867639952,1.0311983708455617,1.046317130869415,1.0490678831465072,1.0439740741325778
2024-06-02 16:00:29,1.0379807064084619,1.040219724895485,1.0655325453649336,1.0719043465117721,1.0555489143389616
2024-06-05 15:26:27,1.0354695349073535,1.037276909877704,1.040051987528244,1.046271416935381,1.0303070995504164
2024-06-08 14:00:34,1.0354695349073535,1.037276909877704,1.040051987528244,1.046271416935381,1.0303070995504164
2024-06-09 13:00:56,1.0555625037257668,1.0582454464194586,1.1033018341999727,1.1125038579036237,1.0967764816680483
2024-06-15 12:00:07,1.0555625037257668,1.0582454464194586,1.1033018341999727,1.1125038579036237,1.0967764816680483
2024-06-16 13:01:02,1.0471126736549459,1.0488343542361311,1.0408543412947928,1.076347656151788,1.067020444542731
2024-06-22 12:00:06,1.0471126736549459,1.0488343542361311,1.0408543412947928,1.076347656151788,1.067020444542731
2024-06-23 12:00:44,1.0591253713023288,1.061506359924052,1.0576415808987454,1.0918376823936247,1.074699647295945
2024-06-30 12:00:01,1.056239065638318,1.0583268797938572,1.0480674386399373,1.0826974605275788,1.065702894963573
2024-07-02 12:00:38,1.0697456054985313,1.0738429635955182,1.059898096298767,1.0906404137476482,1.0888648108092582
2024-07-06 13:00:47,1.0697456054985313,1.0738429635955182,1.059898096298767,1.0906404137476482,1.0888648108092582
2024-07-07 12:00:44,1.0854473080591158,1.088186856143487,1.128344128186132,1.1632583737662823,1.162921541370849
2024-07-13 12:01:02,1.0860111688867062,1.0889437070584704,1.1845161253433751,1.2211684957158513,1.220814894900318
2024-07-20 12:00:18,1.0807005303578539,1.0834761621770281,1.1630484694630996,1.211971653256935,1.200826484382167
2024-07-27 14:24:01,1.0807005303578539,1.0834761621770281,1.1630484694630996,1.211971653256935,1.200826484382167
2024-07-28 12:00:18,1.0303868475053717,1.048059482595087,1.0374163462175232,1.081054863363897,1.0711135920621284
2024-08-03 12:00:16,1.0303868475053717,1.048059482595087,1.0374163462175232,1.081054863363897,1.0711135920621284
2024-08-04 13:00:17,1.0303868475053717,1.048059482595087,1.0374163462175232,1.081054863363897,1.0711135920621284
2024-08-05 17:00:11,1.0294573300124954,1.0475907614942026,1.027753495047003,1.0721239881726954,1.0608336985988416
2024-08-07 12:00:57,1.0619145623819914,1.0806964890894106,1.0707608205169814,1.1136986290845918,1.080452566611796
2024-08-11 12:00:11,1.1115322060102706,1.1312018155794719,1.1615812425841867,1.2118975885556942,1.1744373467178124
2024-08-17 12:00:03,1.1115322060102706,1.1312018155794719,1.1615812425841867,1.2118975885556942,1.1744373467178124
2024-08-18 12:00:36,1.1074669993647195,1.126760485562624,1.1343850869426944,1.1835233739664628,1.1469401905124823
2024-08-24 15:16:09,1.1074669993647195,1.126760485562624,1.1343850869426944,1.1835233739664628,1.1469401905124823
2024-08-25 14:00:34,1.0997101930689064,1.119694971461215,1.1211990332558242,1.1677217472919965,1.135808550659383
2024-08-28 16:30:05,1.099601595228761,1.1196042564068496,1.1211990332558242,1.1677217472919965,1.135808550659383
2024-08-31 12:00:28,1.099601595228761,1.1196042564068496,1.1211990332558242,1.1677217472919965,1.135808550659383
2024-09-02 13:00:31,1.104053713549965,1.1245881320237523,1.1356979938840606,1.1833520248713805,1.138136840036422
