date,HARD_BOTH,TRAIN_ONLY,INFER_ONLY,HARD_NONE
2024-08-14 00:00:00,1.0,1.0,1.0,1.0
2024-08-15 00:00:00,1.0442579341051357,1.0399454082378132,1.0414473740461268,1.0447566466673466
2024-08-16 00:00:00,1.0424878555501806,1.0402100122215858,1.04095602412822,1.0411403371864607
2024-08-19 00:00:00,1.073231447822055,1.069029902991538,1.0678762870632807,1.070735386088471
2024-08-20 00:00:00,1.0696683012123591,1.0622455847122425,1.059274301368314,1.0616717353632426
2024-08-21 00:00:00,1.1070393440431865,1.09365752895402,1.0970467744643306,1.09452538369366
2024-08-22 00:00:00,1.0444089915822032,1.0458199683964058,1.039169852483332,1.0518546850603396
2024-08-23 00:00:00,1.1134446105846072,1.0318676672579312,1.1056808096418531,1.056675293383648
2024-08-26 00:00:00,1.0743903323494195,1.0068930187802736,1.0659977613175375,1.029554406098114
2024-08-27 00:00:00,1.0472332743609294,0.9992668205015552,1.0221201867029757,1.0148212887524426
2024-08-28 00:00:00,1.0411537980518146,0.9727448613257637,1.016186498753726,0.9759283997166502
2024-08-29 00:00:00,1.0099065096278723,0.971240309054865,0.9856885332480636,0.9715300629503988
2024-08-30 00:00:00,0.990181822833421,0.973134893319846,0.9664368526124328,0.9712447557312368
2024-09-03 00:00:00,0.975232853028293,0.934929210166152,0.9518463652947348,0.9197217690735788
2024-09-04 00:00:00,0.9912005194821264,0.9357953977406224,0.9628075106392552,0.923842390467573
2024-09-05 00:00:00,0.9796675286865762,0.9315051842112556,0.9533855408143964,0.922401888996038
2024-09-06 00:00:00,0.9615666675885914,0.9027378744806496,0.9336117234495214,0.8898585718056375
2024-09-09 00:00:00,0.9723325769059732,0.9302972987807392,0.9440646431389156,0.9194043762167572
2024-09-10 00:00:00,0.9708026680058264,0.9403021548659526,0.9429446595371568,0.9256500054737988
2024-09-11 00:00:00,0.9858327388257452,0.9614234094449152,0.9627549656603844,0.947335512619672
2024-09-12 00:00:00,0.9890676223984258,0.9627197408788178,0.9647693453962176,0.950201494383028
2024-09-13 00:00:00,0.9830839500224235,0.9715589981494944,0.9716032263782391,0.9530240257613208
2024-09-16 00:00:00,0.9756647493655544,0.9696596509879796,0.9658548463390632,0.9503424605361184
2024-09-17 00:00:00,0.9819886579657404,0.9731723538115558,0.9695513742860108,0.9541174499953344
2024-09-18 00:00:00,0.9844739691190432,0.971299289917772,0.9743014082475318,0.9558621737720042
2024-09-19 00:00:00,1.020245889023363,0.996599116263212,1.012662196553628,0.9903379343853126
2024-09-20 00:00:00,1.0224662223200818,0.9960215007874076,1.0148660256673026,0.9915930293456912
2024-09-23 00:00:00,1.0481886576610728,1.0087676733704916,1.0403972609835768,1.0148465992197515
2024-09-24 00:00:00,1.0697261654763348,1.0114865164675453,1.082664060503213,1.0160478217767754
2024-09-25 00:00:00,1.043595397789298,1.0012677461525996,1.0562172520010429,1.0093290515892033
2024-09-26 00:00:00,1.0479699119236665,1.019358055725469,1.063371019345897,1.0266554158967311
2024-09-27 00:00:00,1.0531111376210172,1.0280948037270226,1.0685878011907537,1.0382742986172044
2024-09-30 00:00:00,1.0402001236268803,1.016659066382319,1.0523474570723066,1.0271612525296463
2024-10-01 00:00:00,0.9949210733439808,1.010030127208467,1.0093826860212567,1.03178671320105
2024-10-02 00:00:00,0.9936625291833412,1.0147471919230993,1.0023435166949657,1.03524852778303
2024-10-03 00:00:00,1.0074357546754285,1.017339508429622,1.0155959058984605,1.0464194403543177
2024-10-04 00:00:00,1.022604894740578,1.0395476338401826,1.0306407230497885,1.0624178587821866
2024-10-07 00:00:00,1.0062818796744435,1.0318475754910688,1.0144802915626376,1.0525147798209225
2024-10-08 00:00:00,1.028175125610754,1.0374566528806173,1.0360432032755689,1.0608658460837408
2024-10-09 00:00:00,1.0423953454009778,1.040965600251921,1.0500806109232022,1.0674372877248854
2024-10-10 00:00:00,1.0583032323233477,1.0434260128524022,1.0653774976411383,1.0773448552719285
2024-10-11 00:00:00,1.06612409890177,1.0634564893763288,1.0731897559815202,1.0831695945837647
2024-10-14 00:00:00,1.0687817243831703,1.0749523292609058,1.0761137644908298,1.089369294956874
2024-10-15 00:00:00,1.0500313395243202,1.0577862612816882,1.0576635753162396,1.066452300104167
2024-10-16 00:00:00,1.059843873511752,1.0680357466178654,1.0673318838634938,1.0721347999006252
2024-10-17 00:00:00,1.0688908481860566,1.062301727945853,1.0760750534555816,1.077287522588162
2024-10-18 00:00:00,1.0763449530808282,1.077706932315704,1.083442064397074,1.0812180170997658
2024-10-21 00:00:00,1.0687566330515368,1.0747034620154168,1.076042590472369,1.0823378337188585
2024-10-22 00:00:00,1.0678919177097346,1.0737765678281688,1.0751841733508851,1.0814612233710277
2024-10-23 00:00:00,1.048468010168068,1.0512176922686194,1.0560244166529076,1.0651196752063534
2024-10-24 00:00:00,1.0630464508821265,1.0666384362246413,1.0702023792952795,1.0788819894244663
2024-10-25 00:00:00,1.0769595840921475,1.0730620292762043,1.083623032996881,1.0894701004652272
2024-10-28 00:00:00,1.0749503809354015,1.0876316131994197,1.0818204008189023,1.0869112385669553
2024-10-29 00:00:00,1.0526626996600168,1.0917383041296538,1.078409443793673,1.0940115139290276
2024-10-30 00:00:00,1.0196624310912896,1.0757583768845758,1.0460918346125936,1.062038151746101
2024-10-31 00:00:00,0.999395415956246,1.046117105899436,1.0252995033485608,1.036377540723136
2024-11-01 00:00:00,1.006342071645371,1.0493323047078382,1.0323601043741304,1.0437693450106562
