date,daily_return_trained,nav_trained,cumulative_return_trained,daily_return_rorl,nav_rorl,cumulative_return_rorl
2024-05-13,0.0,1.0,0.0,0.0,1.0,0.0
2024-05-14,0.03292805679333921,1.0329280567933392,0.03292805679333921,0.0329279904633159,1.032927990463316,0.03292799046331596
2024-05-15,-0.02005067585133169,1.01221715114883,0.012217151148830041,-0.0200506626008222,1.0122170998355906,0.012217099835590606
2024-05-16,-0.01703617234820609,0.9949728453080484,-0.005027154691951585,0.0046814473670941,1.0169557409125436,0.016955740912543593
2024-05-17,0.004318210898691888,0.9992693478925601,-0.0007306521074399441,0.0148794931090041,1.032087526851614,0.03208752685161409
2024-05-20,-0.018564202926960482,0.9807187089395911,-0.01928129106040888,-0.0141785137058684,1.0174540597064927,0.01745405970649272
2024-05-21,-0.004943500655754662,0.9758705253588373,-0.024129474641162663,0.065914074753092,1.0845186026558233,0.08451860265582334
2024-05-22,-0.01654022805160571,0.9597294043205619,-0.04027059567943814,-0.0346101886686066,1.0469832092032918,0.0469832092032918
2024-05-23,-0.011192055810640755,0.9489880592642931,-0.05101194073570692,-0.0351453225330926,1.0101866466291098,0.010186646629109841
2024-05-24,0.03417385245755766,0.981418637185575,-0.018581362814425018,0.0199240588063401,1.0303136647819278,0.030313664781927763
2024-05-28,0.033386547602269445,1.0141848172337256,0.014184817233725555,-0.0034080527052667,1.0268023015093946,0.026802301509394555
2024-05-29,-0.004956566861686773,1.009157942376999,0.009157942376998962,-0.0057741015072178,1.0208734407926345,0.020873440792634534
2024-05-30,-0.01594730079839668,0.9930645971168219,-0.006935402883178066,0.0039477060934899,1.0249035490955336,0.024903549095533606
2024-05-31,0.011857887370886555,1.004840245261448,0.004840245261447995,0.0056801579896129,1.0307251631785113,0.03072516317851126
2024-06-03,-0.028586289230621342,0.9761155913798357,-0.023884408620164277,-0.0063688800186076,1.0241605982820676,0.024160598282067625
2024-06-04,0.006196535810923276,0.9821641265974215,-0.017835873402578528,-0.0035754394793665,1.0204987740457583,0.020498774045758283
2024-06-05,0.051555829881867465,1.0328004132243511,0.03280041322435112,0.0105210273834128,1.031235469592233,0.031235469592233
2024-06-06,-0.00393520672074299,1.0287361300970446,0.028736130097044565,-0.0003236290079428,1.0309017318802534,0.030901731880253358
2024-06-07,3.149074972119692e-06,1.0287393696642448,0.02873936966424484,-0.0004310875939985,1.0304573229330083,0.03045732293300829
2024-06-10,-0.006664816940314844,1.0218830100861378,0.0218830100861378,0.0029897683873007,1.033538151661576,0.03353815166157603
2024-06-11,-0.004589087781998513,1.0171934992499196,0.01719349924991964,0.0084018219507032,1.0422217551910955,0.0422217551910955
2024-06-12,-0.0013141682044538472,1.0158567358954282,0.015856735895428242,0.0165260852821711,1.0594456008003177,0.05944560080031769
2024-06-13,-0.02103491755872855,0.9944882732043888,-0.005511726795611183,0.0044395169452083,1.064149027497597,0.0641490274975971
2024-06-14,0.012892102757155577,1.007309318213326,0.007309318213325922,0.0065823650571114,1.0711536448717562,0.07115364487175624
2024-06-17,0.003140394354799847,1.0104726667097803,0.01047266670978031,0.0207441555066125,1.0933738226524508,0.09337382265245076
2024-06-18,0.015296202642394396,1.0259290613843737,0.025929061384373675,0.0042615726859658,1.0980333146706165,0.09803331467061649
