date,step_50000,step_100000,step_200000,step_300000,step_500000
2024-05-13,1.0,1.0,1.0,1.0,1.0
2024-05-14,1.0107059429508338,1.0107059429508338,1.0107059429508338,1.0107059429508338,1.0107059429508338
2024-05-15,1.0372158740984416,1.0372158740984416,1.0372158740984416,1.0372158740984416,1.0372158740984416
2024-05-16,1.03398380158126,1.03398380158126,1.03398380158126,1.03398380158126,1.03398380158126
2024-05-17,1.040993833000767,1.039615981854327,1.038891433981892,1.038484207048146,1.0412569980742536
2024-05-20,1.0375344908108506,1.0336620469081534,1.0351037940177163,1.0314438115963258,1.037667834331147
2024-05-21,1.033750421388076,1.0337477555199663,1.0323894706432886,1.033793625422346,1.0329888545574173
2024-05-22,1.0495339365833558,1.0419624591894694,1.0475924351647683,1.0372135561502625,1.046339619658767
2024-05-23,1.0181986963402572,1.010853275536694,1.0163151610447871,1.006246157353067,1.0150997500223309
2024-05-24,1.0346610980996933,1.0271969153405365,1.032747109499899,1.0225153085224563,1.03151204751479
2024-05-28,1.0576967256716303,1.0496149172265292,1.0542534424483534,1.0445508317851404,1.0527950843315386
2024-05-29,1.0568562074856978,1.048780821398545,1.0534156605308596,1.043720760225933,1.0519584613251851
2024-05-30,1.0674310481079945,1.0592748601858992,1.0639560752440844,1.0541641683408642,1.062484295389457
2024-05-31,1.0679901160814702,1.0598296563486005,1.0645133231973911,1.0547162877741054,1.0630407724967388
2024-06-03,1.0675666906965158,1.059409466336101,1.0640912762543746,1.054298125055702,1.0626193093749936
2024-06-04,1.0638447115478324,1.0557159266462774,1.0603814138382563,1.0506224056162043,1.058914578844387
2024-06-05,1.0687048199850666,1.0605388992349656,1.0652257004151793,1.0554221087706743,1.0637521642768173
2024-06-06,1.0651270205257135,1.0569884375645873,1.0616595483180198,1.051888777040963,1.0601909452694132
2024-06-07,1.0660147335762145,1.05786936764351,1.0625443714593623,1.0527654568895255,1.061074544427074
2024-06-10,1.0579512419719417,1.049446025323958,1.0539146855635948,1.0452405067995412,1.052341091642776
2024-06-11,1.0739354165894932,1.06659946157831,1.0700116428407476,1.0610891624341396,1.0680699681024155
2024-06-12,1.1082016744592795,1.1005049892534202,1.102549152088892,1.09220765213887,1.101194938227595
2024-06-13,1.114949547532349,1.1069608031590594,1.1100588006496186,1.0992370352366223,1.1087683794586
2024-06-14,1.1574883094395465,1.1522815278869392,1.1423782224212071,1.1364036463539169,1.1401300984590297
2024-06-17,1.1655988113297122,1.1579889855115248,1.1517140134466726,1.1410293914441432,1.1443310719617144
2024-06-18,1.1520525485238595,1.1423720607934884,1.136099494964253,1.1264777697346782,1.1292267487259815
2024-06-20,1.150703972186731,1.1397820113393824,1.1351800204320468,1.1292154211499386,1.1323871083111476
2024-06-21,1.1519721396807063,1.1460900020454243,1.1388125944004603,1.133919272755032,1.1365121932762328
2024-06-24,1.1485694865730238,1.1387156179505422,1.1357661222903035,1.1303340942770908,1.1323792914835125
2024-06-25,1.173398586520704,1.1626801365537405,1.1596980267370456,1.1541201911345138,1.155628078736134
2024-06-26,1.1762667970801792,1.1661522099132868,1.1617269859872392,1.157807583813327,1.1608373683620312
2024-06-27,1.1757173346091163,1.1648604255808792,1.160532380305925,1.1569138293279206,1.159088029331602
2024-06-28,1.1924847152015772,1.18147297140109,1.1770832021213855,1.1734130455238538,1.1756182526734476
2024-07-01,1.2223811869127732,1.2110933705699505,1.206593546535316,1.202831376403778,1.2050918697237727
2024-07-02,1.2275220679747267,1.2161867792706726,1.211668030648185,1.2078900382270144,1.2101600383419628
2024-07-03,1.2336121659759565,1.2222206395708617,1.217679472107465,1.2138827359547617,1.2161639982079016
2024-07-05,1.2322666901402746,1.2208875882425996,1.216351373738696,1.212558778609313,1.2145770786700525
2024-07-08,1.2324087098824377,1.2210282965339785,1.2164915592276493,1.212698526998581,1.214651401903848
2024-07-09,1.2705692720219066,1.2588364731642616,1.2541592593711144,1.2502487788954426,1.2522621230294446
2024-07-10,1.28989072791634,1.2779795092270192,1.2732311693788012,1.2692612225066875,1.271305183420697
2024-07-11,1.1995287031835375,1.188451913190003,1.184036213613956,1.1803443774605895,1.1822451507055447
2024-07-12,1.2261069718208426,1.214784750518073,1.2102712111410756,1.2064975740163872,1.2084404631871963
2024-07-15,1.2334236730657584,1.2222384494102971,1.216961756723406,1.2065005825581552,1.2136908011084162
2024-07-16,1.2485047627376211,1.2353095966370484,1.2303198765770753,1.2209167326307222,1.2252871333133808
2024-07-17,1.2220755869349575,1.2053515258771788,1.2011811566941233,1.1943881228127908,1.192762804314235
2024-07-18,1.224461022197367,1.2037560376771743,1.198375472845946,1.19099702134744,1.1918145395748625
2024-07-19,1.1929058915913702,1.1762861163122074,1.1724242261065845,1.1647676651370733,1.1639039378158675
2024-07-22,1.2190211581728454,1.1984461368282646,1.1931655338609255,1.1839200303246746,1.185260101327643
2024-07-23,1.1941570731286155,1.1740017156078075,1.1688288198450434,1.159771894648603,1.1610846325415922
2024-07-24,1.046862519981805,1.0291932461147688,1.0246584065901636,1.0167186173046625,1.017869434169256
