method,n_kols,event_mean_cumulative_return,event_baseline_mean_cumulative_return,event_mean_sharpe,event_baseline_mean_sharpe,event_mean_max_drawdown,event_baseline_mean_max_drawdown,betrayal_mean_reversal_rate,betrayal_mean_entry_violation_rate,betrayal_mean_mean_abs_deviation,betrayal_mean_mean_normalized_deviation,betrayal_mean_sign_agreement_rate,betrayal_mean_baseline_policy_corr,daily_trained_mean_cumulative_return,daily_baseline_mean_cumulative_return,daily_trained_mean_sharpe,daily_baseline_mean_sharpe,daily_trained_mean_max_drawdown,daily_baseline_mean_max_drawdown,trading_mean_turnover,trading_baseline_mean_turnover,trading_mean_turnover_improve_vs_baseline,trading_mean_rebalance_freq,trading_baseline_mean_rebalance_freq,trading_mean_rebalance_freq_improve_vs_baseline,trading_mean_active_exposure_ratio,trading_baseline_mean_active_exposure_ratio,trading_mean_active_exposure_ratio_improve_vs_baseline
HARD_BOTH,20,0.20764681882848507,0.14580817168980792,1.5172069958543575,1.4067733082959573,0.23629153496389507,0.2428091977060917,0.0,0.0,0.008212167245801538,0.603464262187481,0.7777605237333225,0.8207067757844925,0.23852334718363483,0.1716518021476427,0.8575419554346946,0.7527765817937652,0.2536411455956137,0.2581935983974166,1.4563511898972643,0.9571766370153961,-0.4991745528818683,0.9591026235175713,0.9985915492957746,0.03948892577820338,0.9527193107929726,0.9558221803327941,0.003102869539821601
BC,20,0.062077964602750293,0.22760673204230505,1.3106927199119538,2.0767937886432266,0.08064634096117651,0.1293756623789677,0.24243855342910692,0.23096789925369926,0.03192730131559074,0.8322949686220714,0.7575614465708929,0.8243610986641475,0.17842439360295748,0.2207268288945811,0.8798024767517785,0.9645817746160771,0.20920086303213808,0.2264937279890165,0.7658292885123142,0.9986446220101831,0.23281533349786887,1.0,0.9975861930240979,-0.002413806975902163,1.0,0.940778015484442,-0.059221984515558004
IQL,20,0.09440926618754653,0.22760673204230505,1.7148818176213452,2.0767937886432266,0.07880349980582939,0.1293756623789677,0.2059451242030261,0.21210956574556733,0.02686461390528296,0.748707961823259,0.7940548757969739,0.8184759744576046,0.20981745691403,0.2207268288945811,1.034874051255775,0.9645817746160771,0.2044080462837002,0.2264937279890165,0.7914671108144365,0.9986446220101831,0.20717751119574648,1.0,0.9975861930240979,-0.002413806975902163,1.0,0.940778015484442,-0.059221984515558004
TRAIN_ONLY,20,0.015863988929472515,0.14580817168980792,0.5957948949075721,1.4067733082959573,0.0811045048040972,0.2428091977060917,0.24347227506305885,0.7294751861395795,0.051519902609288695,0.8777424186468125,0.7565277249369411,0.8320411026477814,0.11009291067801671,0.1716518021476427,0.34486260125295554,0.7527765817937652,0.23669972893470032,0.2581935983974166,0.48680145000332703,0.9593226862173374,0.4725212362140102,0.9985915492957746,0.9969018844126432,-0.001689664883131514,1.0,0.9548758519071925,-0.04512414809280743
INFER_ONLY,20,0.19496009031050518,0.14580817168980792,1.5154249003170972,1.4067733082959573,0.23406842551531545,0.2428091977060917,0.0,0.0,0.007692352472804487,0.5782361008226872,0.7990845556231063,0.8216985285282135,0.2198927140477763,0.16772732305482568,0.8178257950529009,0.7041917947409437,0.24860858407256803,0.2581903159633287,1.4194719511811154,0.9586958215338492,-0.4607761296472659,0.9580447660189181,0.9985915492957746,0.040546783276856437,0.9543133218415607,0.9558428567469134,0.001529534905352764
HARD_NONE,20,0.06528270089175972,0.14580817168980792,1.0029522111299873,1.4067733082959573,0.09361885776684316,0.2428091977060917,0.22258806381945062,0.21850773757206216,0.029338637762703002,0.7814226947724819,0.7774119361805493,0.8178439229726792,0.2036226289379775,0.18381044791316836,0.884128574509665,0.807689062646533,0.2062016139392227,0.24990188442754807,0.796432711479685,0.9593226862173374,0.1628899747376522,0.9938043152532214,0.9969018844126432,0.003097569159421676,1.0,0.9548758519071925,-0.04512414809280743
