source,method,n_kols,event_mean_cumulative_return,event_baseline_mean_cumulative_return,event_mean_sharpe,event_baseline_mean_sharpe,event_mean_max_drawdown,event_baseline_mean_max_drawdown,betrayal_mean_reversal_rate,betrayal_mean_entry_violation_rate,betrayal_mean_mean_abs_deviation,betrayal_mean_mean_normalized_deviation,betrayal_mean_sign_agreement_rate,betrayal_mean_baseline_policy_corr,daily_trained_mean_cumulative_return,daily_baseline_mean_cumulative_return,daily_trained_mean_sharpe,daily_baseline_mean_sharpe,daily_trained_mean_max_drawdown,daily_baseline_mean_max_drawdown,trading_mean_turnover,trading_baseline_mean_turnover,trading_mean_turnover_improve_vs_baseline,trading_mean_rebalance_freq,trading_baseline_mean_rebalance_freq,trading_mean_rebalance_freq_improve_vs_baseline,trading_mean_active_exposure_ratio,trading_baseline_mean_active_exposure_ratio,trading_mean_active_exposure_ratio_improve_vs_baseline
x,HARD_BOTH,10,0.11922210470388173,0.021464373067166743,0.43173942359193596,0.295046035205579,0.31913492477015604,0.3308668499555064,0.0,0.0,0.006643356988206506,0.5854141026735306,0.7750338379825332,0.8255838632583619,0.13133176837486066,0.026731741574645564,0.40299383786957577,0.26047743386777006,0.3222059162627604,0.3311100911765018,1.4149864702511337,0.9166169982149233,-0.4983694720362104,0.9201283239582194,0.9971830985915492,0.07705477463332983,0.9861282696376369,0.9904472162644499,0.0043189466268130135
x,BC,10,-0.0029900886172730123,0.026294379652207295,-0.265489983057018,0.1918126963066987,0.09827451859290101,0.2071281510208724,0.25084383730841564,0.12297936455122727,0.01744078262709081,0.8683835342526436,0.7491561626915844,0.8113262802362442,0.021341465606383836,-0.019698768000907085,0.27625351847743895,0.25423084006215196,0.2810974428250953,0.32974614380476924,0.7712234324761468,1.0065023564187197,0.2352789239425729,1.0,1.0,0.0,1.0,0.9972826086956521,-0.002717391304347838
x,IQL,10,0.027045014104219528,0.026294379652207295,-0.06659732763373452,0.1918126963066987,0.08940166133643668,0.2071281510208724,0.24027329423879173,0.10975139337097947,0.016869572107680142,0.849685549736023,0.7597267057612083,0.8038002848625183,0.11902491681334482,-0.019698768000907085,0.5388494247050661,0.25423084006215196,0.2701710959349692,0.32974614380476924,0.8022261072746054,1.0065023564187197,0.20427624914411427,1.0,1.0,0.0,1.0,0.9972826086956521,-0.002717391304347838
x,TRAIN_ONLY,10,-0.023965900662696958,0.021464373067166743,-0.25418147939676417,0.295046035205579,0.09705121052844189,0.3308668499555064,0.22804876974399346,0.8422921602246817,0.054233882762491706,0.821869483590126,0.7719512302560065,0.8435799598693847,0.09603343089982894,0.026731741574645564,0.14023642612093462,0.26047743386777006,0.3050172004373638,0.3311100911765018,0.3067309025343678,0.9231438441879061,0.6164129416535383,0.9971830985915492,0.9971830985915492,0.0,1.0,0.9915755256144273,-0.008424474385572788
x,INFER_ONLY,10,0.09168462555222216,0.021464373067166743,0.4561330685829105,0.295046035205579,0.3086146052463573,0.3308668499555064,0.0,0.0,0.005673204362392425,0.5448743477463722,0.807969406457729,0.8228212654590606,0.09708970189071306,0.026731741574645564,0.4038001341705364,0.26047743386777006,0.3083681153824578,0.3311100911765018,1.4030625187461876,0.9190912565210605,-0.48397126222512715,0.9180126089609134,0.9971830985915492,0.07917048963063594,0.9874294992819825,0.990488569092688,0.003059069810705528
x,HARD_NONE,10,0.029146993704869995,0.021464373067166743,0.06510613746166008,0.295046035205579,0.10412386333191928,0.3308668499555064,0.19812605538275813,0.18993645123172323,0.024978538043797016,0.7033034309744834,0.8018739446172418,0.8356554329395294,0.198488605003261,0.05361661865639493,0.712172176584332,0.39940634810543746,0.23372722403491317,0.31461181848017766,0.699138753892721,0.9231438441879061,0.2240050902951852,0.987608630506443,0.9971830985915492,0.00957446808510638,1.0,0.9915755256144273,-0.008424474385572788
youtube,HARD_BOTH,10,0.2960715329530883,0.27015197031244914,2.6026745681167784,2.518500581386335,0.15344814515763405,0.1547515454566769,0.0,0.0,0.00978097750339657,0.6215144217014312,0.780487209484112,0.8158296883106232,0.34571492599240894,0.31657186272063986,1.312090072999813,1.2450757297197603,0.18507637492846687,0.1852771056183315,1.4977159095433952,0.9977362758158691,-0.499979633727526,0.998076923076923,1.0,0.0019230769230769273,0.9193103519483083,0.9211971444011384,0.0018867924528301883
youtube,BC,10,0.08810518589075962,0.3081316729983441,1.9411658010995427,2.830786225577838,0.07359506990848673,0.09827466692220581,0.23907643987738347,0.27416331313468806,0.03772190879099071,0.8178595423698425,0.7609235601226165,0.8295750260353089,0.2412575648015869,0.3168970676527764,1.1212220600615141,1.248722148437647,0.18044223111495516,0.18519276166271545,0.763671630926781,0.9955015282467684,0.23182989731998732,1.0,0.996620670233737,-0.003379329766263028,1.0,0.918176178199958,-0.08182382180004208
youtube,IQL,10,0.12135496702087731,0.3081316729983441,2.427473475723377,2.830786225577838,0.07456423519358647,0.09827466692220581,0.1922138561887199,0.25305283469540246,0.030862630624324084,0.7083169266581535,0.8077861438112801,0.824346250295639,0.24613447295430407,0.3168970676527764,1.2332839018760589,1.248722148437647,0.17810282642319264,0.18519276166271545,0.7871635122303691,0.9955015282467684,0.20833801601639937,1.0,0.996620670233737,-0.003379329766263028,1.0,0.918176178199958,-0.08182382180004208
youtube,TRAIN_ONLY,10,0.055693878521641996,0.27015197031244914,1.4457712692119087,2.518500581386335,0.06515779907975253,0.1547515454566769,0.25889578038212424,0.6166582120544774,0.048805922456085685,0.9336153537034988,0.7411042196178759,0.820502245426178,0.12415239045620452,0.31657186272063986,0.5494887763849763,1.2450757297197603,0.1683822574320369,0.1852771056183315,0.6668719974722863,0.9955015282467684,0.3286295307744821,1.0,0.996620670233737,-0.003379329766263028,1.0,0.918176178199958,-0.08182382180004208
