method,cumulative_return,sharpe,max_drawdown
HARD_BOTH,0.20764681882848507,1.5172069958543575,0.23629153496389507
BC,0.062077964602750293,1.3106927199119538,0.08064634096117651
IQL,0.09440926618754653,1.7148818176213452,0.07880349980582939
TRAIN_ONLY,0.015863988929472515,0.5957948949075721,0.0811045048040972
INFER_ONLY,0.19496009031050518,1.5154249003170972,0.23406842551531545
HARD_NONE,0.06528270089175972,1.0029522111299873,0.09361885776684316
