date,beta5,beta8,test_v2
2024-05-13,1.0,1.0,1.0
2024-05-14,0.9976168207202496,0.9976168207202496,0.9976168207202496
2024-05-15,1.003744974807525,1.003744974807525,1.003744974807525
2024-05-16,1.0046203829843985,1.0046203829843985,1.0046203829843985
2024-05-17,1.0139098322156592,1.0139098322156592,1.0139098322156592
2024-05-20,1.0043285802587738,1.0043285802587738,1.0043285802587738
2024-05-21,1.007660118396804,1.007660118396804,1.007660118396804
2024-05-22,1.0013627300637455,1.0012098816874888,1.0061046216800134
2024-05-23,1.044984945481409,1.0403347854663847,1.061373961696818
2024-05-24,1.0650971834943883,1.0603575244627272,1.0818016298950337
2024-05-28,1.1394455975024405,1.1343750896643008,1.1573160868858454
2024-05-29,1.1486890908257086,1.143577449645661,1.166704550490855
2024-05-30,1.105422581404074,1.1005034752389775,1.1227594709830566
2024-05-31,1.096749298126369,1.0918687878810238,1.1139501603100348
2024-06-03,1.1504397906015251,1.145320358845995,1.1684827073579325
2024-06-04,1.1648152506579823,1.1596318484214982,1.1830836248709664
2024-06-05,1.179510096130809,1.172150731718248,1.2057526513262722
2024-06-06,1.1880980666442793,1.1806851189645804,1.21453169293863
2024-06-07,1.1850266207642617,1.1776328368794116,1.2113919114095146
2024-06-10,1.19386864407435,1.1864196918006098,1.2204306581605602
2024-06-11,1.1852423108792631,1.1778471812304714,1.2116124003471516
2024-06-12,1.2119254710057947,1.2038868621754006,1.2453061068933708
2024-06-13,1.2201365976722356,1.2121467411610318,1.2626962959575672
2024-06-14,1.1903135178177493,1.182518952660984,1.2318329544774826
2024-06-17,1.2533698981560826,1.2451624190419943,1.2970888102903524
2024-06-18,1.2361179957333734,1.228023487761341,1.2792351426526998
2024-06-20,1.2177727309241884,1.2096859335906949,1.2628690472830175
2024-06-21,1.2151483557508809,1.2075818893852182,1.2582431980380588
2024-06-24,1.1916107139943508,1.1841908114402877,1.2338708014513804
2024-06-25,1.2150055803939364,1.2074400030595849,1.258095359199391
2024-06-26,1.2131799181418907,1.2056257088120792,1.2562049504277546
2024-06-27,1.208678934045355,1.201152751371398,1.2515443403901891
2024-06-28,1.207893771000034,1.200372477366782,1.2507313317921438
2024-07-01,1.248173157133644,1.2404010524624085,1.2924392132898277
2024-07-02,1.243073129570221,1.2353327816691284,1.2871583149031305
2024-07-03,1.2749279538797778,1.2669892528676578,1.3201428602242893
2024-07-05,1.2801565411223343,1.273660621462508,1.3268409450588627
2024-07-08,1.2910479199579414,1.2840197631265369,1.3392177352011392
2024-07-09,1.3141082479705546,1.3109090874108644,1.3627980510752362
2024-07-10,1.3265566197496943,1.328665109635076,1.3709253589515968
2024-07-11,1.2336260020710017,1.235586783773784,1.2748865329399377
2024-07-12,1.260959773404684,1.262964000656287,1.303134524559172
2024-07-15,1.268258044268929,1.2702738717267117,1.3106768973876903
2024-07-16,1.2678279756321398,1.2698431195191218,1.3102324444397448
2024-07-17,1.2059231167544582,1.2078398662217402,1.2462570817494234
2024-07-18,1.2148683270459273,1.2167992944403911,1.2555014784432064
2024-07-19,1.1574990553070788,1.1593388373518998,1.1962134026231086
2024-07-22,1.1823308005720594,1.1842100513308034,1.221429798343579
2024-07-23,1.1791574649666572,1.181031671880361,1.216789840901931
2024-07-24,1.1088965162864806,1.110659047228406,1.1405558729806111
2024-07-25,1.1307674035863071,1.1325646971188144,1.1630511812359308
2024-07-26,1.148997630234762,1.1513539105964383,1.1712951885223513
2024-07-29,1.1724505206476132,1.175493738106366,1.1856847541697215
2024-07-30,1.1137647082709237,1.1196867818019345,1.1074591976801684
2024-07-31,1.2087521797181588,1.2151793175470933,1.2019089033832102
2024-08-01,1.1288045214481572,1.1348065641852907,1.1224138638774628
2024-08-02,1.1436571985415902,1.14973821545094,1.1224138638774628
2024-08-05,1.0113893648173833,1.0245179218196163,1.077074110949326
2024-08-06,1.0094925671480173,1.0225965023604728,1.0763814801399871
2024-08-07,1.0094925671480173,1.0225965023604728,1.0763814801399871
2024-08-08,1.032056216028964,1.0454530435347504,1.102006438038813
2024-08-09,0.993922380734581,1.0068242037961923,1.110117773806436
2024-08-12,0.9814486821552556,0.9941885876918028,1.096185826235461
2024-08-13,1.032834451039971,1.046241380592564,1.15357889481439
2024-08-14,1.0007804694273328,1.013771315383055,1.1177776135481854
2024-08-15,1.0641926900193055,1.0780066719319994,1.188603097026741
2024-08-16,1.074032500356105,1.0879742100414962,1.1995932392727506
2024-08-19,1.0910852400681943,1.1052061721934905,1.2183155947060431
2024-08-20,1.0755768102779004,1.0894970307847118,1.2009987424849116
2024-08-21,1.0869519634482636,1.1010194023024,1.2127911916291507
2024-08-22,1.05352447507274,1.0688253357636397,1.1682269340086642
2024-08-23,1.0866537988554277,1.1024358132166754,1.2049632123431162
2024-08-26,1.0707919537265502,1.083534281624399,1.1778592601143978
2024-08-27,1.068537530462924,1.0812530309267916,1.1753794195552318
2024-08-28,1.0484998117961797,1.0609768652109377,1.153338151500262
2024-08-29,0.9815547204068014,0.9932351332578476,1.0796992942621542
2024-08-30,0.9964129034769408,1.0082701273695596,1.0960431306691545
2024-09-03,0.9015044910735828,0.9122323133986056,0.9916449307919452
2024-09-04,0.9080521290967524,0.9188578677250844,0.9988472599191184
2024-09-05,0.9252578985803056,0.9362683843172904,1.0177734153156617
2024-09-06,0.8680712774598267,0.8784012475512175,0.9548687670252144
2024-09-09,0.8798166078180613,0.8902863462838523,0.9677885000110698
2024-09-10,0.8932861169550264,0.9039161413675404,0.982604810510001
2024-09-11,0.966087739858062,0.9775840970323206,1.062685787388162
2024-09-12,0.9845153462632236,0.9962309902955594,1.062685787388162
2024-09-13,0.98418479803926,0.995896508577474,1.062685787388162
