date,full,bc_only,iql_modified_only,bc_plus_vanilla_iql,iql_vanilla_only,baseline,SPY
2024-05-13 15:49:32,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2024-05-21 15:26:14,1.0385936482383948,1.033176106516833,1.0450684451218066,1.0178234027050255,1.017383582029345,1.0197556774752836,1.0200610714821767
2024-05-23 11:35:30,1.0522010706754366,1.0467125495300158,1.0587606989041354,1.0192294420473689,1.0184098722283625,1.03311628901909,1.0096946671948699
2024-05-25 12:29:36,1.075628231762891,1.0700175091936268,1.0823339095171705,1.0247560244367784,1.023988782169139,1.056118529179696,1.0163752466580402
2024-06-04 14:01:09,1.0959081726612323,1.0957077440369023,1.0900299649955627,1.0383416367026181,1.0367715001894262,1.0851055197739798,1.0143595666996965
2024-06-05 17:09:45,1.103887440546487,1.103685552608571,1.0979664338627797,1.043274402018527,1.041597936319159,1.0930061339331205,1.0264153317752027
2024-06-06 15:25:25,1.1010336942404877,1.1008323282189703,1.0951279944171821,1.042958230311817,1.0412679551098931,1.0901805177492803,1.0263961158527957
2024-06-07 17:50:02,1.1012340965561913,1.1010326938834638,1.0953273218194415,1.0429993022460708,1.0413093478722284,1.0903789446470535,1.0251483697691823
2024-06-11 17:12:50,1.1336328604821126,1.1336095388952268,1.127658272471966,1.0611769999699256,1.0598193071225022,1.1226770468568674,1.0307923439546998
2024-06-13 14:51:12,1.1484812286534931,1.148457601599537,1.1424283852526114,1.0631301713505175,1.0618099240487922,1.1373819153468294,1.0413507902958181
2024-06-18 16:04:09,1.1272622827166272,1.1255812728760037,1.122425646730903,1.051554835789163,1.0475930179204525,1.1216491336025474,1.0529458419145896
2024-06-21 17:15:17,1.119883995603777,1.1182139885026523,1.1150790169257712,1.0480044986850803,1.0441587444039642,1.114307586320707,1.0453054036931357
2024-06-27 19:25:05,1.1565675423957176,1.1548428316075348,1.1516051691475055,1.0582360129428405,1.0523616040105817,1.1508084691298874,1.0488760501530885
2024-07-01 19:49:48,1.1661932329429459,1.164454168014843,1.161189559668997,1.06135671894171,1.0555982510740132,1.1603862290072122,1.0468988020395589
2024-07-04 17:03:12,1.2305254450458125,1.196122201946769,1.2185993499288919,1.0845587393658,1.0788579792225512,1.186222814844579,1.058647463867328
2024-07-10 16:23:24,1.1188655596139063,1.0875841228930982,1.1080216578151059,1.0506541161130547,1.046698819324686,1.0785830223189332,1.0775758504598163
2024-07-17 16:30:52,1.073902326958067,1.043877980068116,1.0634942030552674,1.038861375155367,1.0346123432856684,1.0352386017543216,1.0691674783636322
2024-07-19 11:53:48,1.0283017436003432,0.9995523057023437,1.0183355747149723,1.0130038382663864,1.0086719568645006,0.9917670307590738,1.053905700672873
2024-07-24 15:54:38,1.0485830519007127,1.0192665856794605,1.038420319171124,1.0170259767850425,1.0126818652767577,1.0113277609028752,1.0390086739970719
2024-07-25 14:32:30,1.0338987439782366,1.0091142811045744,1.0239108882227514,1.0112170963948746,1.0072031458053958,0.9951066269308272,1.033595056539922
2024-07-30 15:15:48,1.0478335048179643,1.0227149999844904,1.0377110339639843,1.0173735511197217,1.0129652299266296,1.0085185523607332,1.040486893979311
2024-08-01 09:55:23,1.0616207751924958,1.0361717640181283,1.0513651140541047,1.0183530485206422,1.0137494735155987,1.021788521201388,1.042425827418285
2024-08-02 11:52:24,1.035409529927461,1.0105888507236342,1.025407079404136,1.0174338569799648,1.011971562236544,0.996560727846128,1.0230175114466546
2024-08-04 12:57:18,1.035409529927461,1.0105888507236342,1.025407079404136,1.0174338569799648,1.011971562236544,0.996560727846128,1.0230175114466546
2024-08-05 07:22:20,1.0339925180396023,1.0086935541966537,1.0234839922110164,1.0174998580308234,1.0121705778124421,1.0018974075852995,0.9932234580950522
2024-08-06 12:06:54,1.0339925180396023,1.0086935541966537,1.0234839922110164,1.011072494710432,1.0061847215241069,1.0018974075852995,1.0023805481435595
2024-08-07 12:33:39,1.0571037770459562,1.0312393440184962,1.046360370153956,1.0146296506265726,1.009868070450895,1.024291293498903,0.9956806355877235
2024-08-08 10:33:40,1.01804445052384,0.9931356921963155,1.0076980058288034,1.0117041255578683,1.0072209828491894,0.986444367818308,1.018698147034379
2024-08-09 10:53:39,1.0183924996390057,0.9934752255032653,1.0080425177006596,1.0124475854626753,1.007947493847602,0.986781613494764,1.023190220407801
2024-08-11 10:52:58,1.1484954743127769,1.120394936860613,1.1368232483099114,1.0332730586998546,1.0261839832092512,1.1128461940121588,1.023190220407801
2024-08-17 18:44:05,1.1484954743127769,1.120394936860613,1.1368232483099114,1.0332730586998546,1.0261839832092512,1.1128461940121588,1.06411861192144
2024-08-19 08:52:31,1.1321710286891309,1.104469905693439,1.1206647089723176,1.0281912480825217,1.0213995433933298,1.097028458907453,1.0742930913251934
2024-08-20 15:33:12,1.1441447146327763,1.1161506283491784,1.1325167056524463,1.033469054750889,1.026666831891612,1.1086304818398083,1.0725461999400312
2024-08-21 14:28:53,1.1138031553122056,1.0845558372255986,1.0999631727611547,1.0102251807035145,1.0029586447961822,1.0811507915480438,1.0762320247641675
2024-08-22 19:13:52,1.1246178617503424,1.0950865606657514,1.110643496972338,1.0172713781290013,1.0105000840132972,1.0876160010753846,1.0677852208231693
2024-08-25 19:58:04,1.1246178617503424,1.0950865606657514,1.110643496972338,1.0172713781290013,1.0105000840132972,1.0876160010753846,1.0791308169614249
2024-08-26 19:22:21,1.1011636820803234,1.0722482634790937,1.0874807560864832,1.0057675919359839,0.9987000438778847,1.0649335042301828,1.0765583439343114
2024-08-28 12:37:25,0.9467851074725697,0.9219235104607072,0.935020470871821,0.9754876162020132,0.9673038190442441,0.9156342500770626,1.0717782660653008
2024-09-03 17:30:04,0.9239814458863209,0.8997186494262178,0.9125001648111412,0.963777485689507,0.9553658588847957,0.893580868152547,1.059837679353978
2024-09-09 16:56:37,1.033588689941147,1.0064477206942473,1.020745442581393,0.9922657171318106,0.9842073204837735,0.9995818454820958,1.0489527966724572
2024-09-13 14:18:37,1.0262501011998488,1.0007412080567564,1.0137447311788308,0.9841492527495802,0.9771076045826912,0.996417288392864,1.0789004602330572
2024-09-17 17:27:47,1.0982030005996153,1.0709056166978097,1.0848208485641282,1.005247601146662,0.9963952046882943,1.0662785364727394,1.080935356113808
2024-09-24 15:15:44,1.0827527709565723,1.055839424295338,1.0695588876855608,1.0046932839309715,0.9963442775462722,1.051277440825617,1.0967345937806714
2024-09-30 17:22:20,0.9013628130883276,0.8789581695659102,0.8903792570451401,0.973277120162825,0.9655823358459426,0.8751604399605661,1.1014571410527192
2024-10-11 13:10:49,0.90489009478033,0.8788895633966965,0.8935873874975223,0.9775977385560404,0.9697264968469489,0.8735303675171476,1.11262991105957
2024-10-18 13:16:53,0.9092107844038833,0.8830861050968675,0.8974532081650977,0.9788029589721342,0.9708683781082228,0.8777013200080201,1.1222477145648122
2024-10-24 12:40:16,0.8476379566536077,0.8232824714725248,0.8366766173589166,0.9674784901185636,0.9595015424825156,0.8182623503872674,1.1119771555490237
2024-11-04 14:47:10,0.9000095278774158,0.880704418582374,0.9040780752651248,0.9855328930174728,0.9767725042593551,0.8767806334429821,1.0938742334282274
