method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,bespokeinvest_20260320_161844,-0.11102033132304101,-0.12661878457471198,-0.2250154464440916,-0.3528383083333674,0.29111573737017465,0.2881733312733905
WO_BC_ANCHOR,bespokeinvest_20260321_144810,-0.025605929728493293,-0.12661878457471198,0.08383231648124524,-0.3528383083333674,0.21775004602215906,0.2881733312733905
WO_ENTRY_PEN,bespokeinvest_20260321_194032,-0.07070180277010041,-0.12661878457471198,-0.0822342971734246,-0.3528383083333674,0.23096692204960048,0.2881733312733905
WO_FIDELITY,bespokeinvest_20260321_162814,-0.07659298807052317,-0.12661878457471198,-0.10527321194357232,-0.3528383083333674,0.2624562049370358,0.2881733312733905
WO_HARD,bespokeinvest_20260321_003327,0.06903178231322804,-0.12661878457471198,0.5084970943086192,-0.3528383083333674,0.11400349960735054,0.2881733312733905
WO_MKT_FACTORS,bespokeinvest_20260321_211641,-0.0892482903460774,-0.12661878457471198,-0.16212108942019673,-0.3528383083333674,0.27106608067517035,0.2881733312733905
WO_REV_PEN,bespokeinvest_20260321_180404,-0.041087515137963715,-0.12661878457471198,0.03736117178414703,-0.3528383083333674,0.24297666503683257,0.2881733312733905
WO_RL_COMPLETION,bespokeinvest_20260321_162411,-0.12456982040607223,-0.12467940960547352,-0.34444290436862424,-0.3448622489529242,0.2865217971569829,0.2865926941094074
WO_SOFT,bespokeinvest_20260321_131414,-0.10028756893543267,-0.12661878457471198,-0.18580335323188288,-0.3528383083333674,0.261674399807911,0.2881733312733905
WO_REGIME_SPLIT,bespokeinvest_20260321_225234,-0.09187409783459499,-0.12661878457471198,-0.16861482540808148,-0.3528383083333674,0.26203714215684276,0.2881733312733905
