method,run_name,turnover,baseline_turnover,turnover_improve_vs_baseline,rebalance_freq,baseline_rebalance_freq,rebalance_freq_improve_vs_baseline,active_exposure_ratio,baseline_active_exposure_ratio,active_exposure_ratio_improve_vs_baseline
HARD_BOTH,bespokeinvest_20260324_232706,1.612423232479529,1.1824620597802198,-0.4299611726993091,0.989010989010989,1.0,0.01098901098901095,0.9508196721311475,0.9617486338797814,0.010928961748633892
BC,,,,,,,,,,
IQL,,,,,,,,,,
TRAIN_ONLY,bespokeinvest_20260325_005745,0.11153026726955542,1.20395997825,1.0924297109804444,1.0,1.0,0.0,1.0,0.9621621621621622,-0.037837837837837784
INFER_ONLY,bespokeinvest_20260325_022818,1.6044650624535326,1.1886947347717391,-0.41577032768179345,0.9891304347826086,1.0,0.010869565217391353,0.9513513513513514,0.9621621621621622,0.010810810810810811
HARD_NONE,bespokeinvest_20260325_035533,1.0209746715905808,1.20395997825,0.18298530665941914,1.0,1.0,0.0,1.0,0.9621621621621622,-0.037837837837837784
