date,KICL,WO_HARD,WO_RL_COMPLETION,WO_REGIME_SPLIT,Baseline
2024-08-21,1.0,1.0,1.0,1.0,1.0
2024-08-22,0.9695477491531522,0.9877189282292064,0.9844587566524908,0.9770130354316892,0.9844714320937588
2024-08-23,0.9898240041650354,0.9916939035918124,0.998280838013587,0.9930218613663324,0.9982807048395592
2024-08-26,0.9724351645211226,0.983803614376808,0.9922624889600828,0.9820445416589484,0.9922767586454246
2024-08-27,0.9689058153514593,0.9862029954211956,0.9930788704551954,0.9820369975159732,0.9930917457630314
2024-08-28,0.952174087194072,0.9772724719205516,0.9778903947169856,0.9681292736063032,0.9779331528456364
2024-08-29,0.9506872266443198,0.9817114281129388,0.9775112459441966,0.966974139684318,0.977572099293223
2024-08-30,0.9748041648688536,0.9925841979656346,0.9889274792793684,0.9849334057871164,0.988982221856634
2024-09-03,0.9481907579226156,0.9800596437528024,0.9685293628522332,0.964055872582644,0.9686181016806434
2024-09-04,0.952209995843801,0.9806771515546004,0.9685595860492744,0.9670660219515858,0.9686502710773351
2024-09-05,0.9691788564839654,0.9870381533347912,0.9702877029709168,0.9782482176653,0.97035085944586
2024-09-06,0.9325099467497008,0.9734770542569636,0.944481083395453,0.9464565492467324,0.9445622495597764
2024-09-09,0.9499955993446773,0.9925305968248728,0.96180268182932,0.970449632222832,0.9618258201969292
2024-09-10,0.9618983215250848,0.9951815353479176,0.967783770193725,0.981377371120371,0.967711759640539
2024-09-11,0.969546298056982,1.0039303861806823,0.9792992000708984,0.9964683948303418,0.9790670898900652
2024-09-12,0.975410875582474,1.0097912938286386,0.9871742387151758,1.0065651426711408,0.9868319708502794
2024-09-13,0.9827041077748832,1.005167228468401,1.000397953852096,1.0131949030140928,1.0000698439593658
2024-09-16,0.9863795227934788,1.0045636553070814,1.0064611117874769,1.0197167333193384,1.0061785288865392
2024-09-17,0.9915953031893514,1.002445094026367,1.0095753288707858,1.0251450988578743,1.0093052887123
