date,KICL,WO_HARD,WO_RL_COMPLETION,WO_REGIME_SPLIT
2024-09-03 00:00:00,1.0,1.0,1.0,1.0
2024-09-04 00:00:00,0.97853462695312,0.9861316283864971,0.980061092115131,0.9734830849865616
2024-09-05 00:00:00,0.983470100773404,0.98914541300473,0.9831264955669116,0.9794090120113076
2024-09-06 00:00:00,0.9613888076928376,0.9704735561963882,0.9638406860110011,0.9619477746753368
2024-09-09 00:00:00,0.9710987764223652,0.979716579057895,0.9754800429000102,0.97266968302877
2024-09-10 00:00:00,0.9736986439095462,0.980190943781462,0.976626587632586,0.9730344907423124
2024-09-11 00:00:00,0.9909106337590616,0.994290274479108,0.9917386513043228,0.9876246686495812
2024-09-12 00:00:00,1.0042406565388924,1.00607313338415,1.001840335611779,0.9988955429801588
2024-09-13 00:00:00,1.0124144495790586,1.0086464516479026,1.0094573442442527,1.00767263599763
2024-09-16 00:00:00,1.004345181624642,1.0098830502057,1.0120628505616729,1.0023358739891643
2024-09-17 00:00:00,1.003067858084703,1.0068536736130704,1.010579921510151,1.0008210414333047
2024-09-18 00:00:00,1.0030056275739607,1.0036354620383054,1.008890652831892,1.000255922616204
2024-09-19 00:00:00,1.031011310282519,1.0133865877866992,1.026606897281921,1.0210394618932466
2024-09-20 00:00:00,1.0264467708430158,1.0120858143682827,1.0230753438680718,1.0174425832826406
2024-09-23 00:00:00,1.0309066392540729,1.0147022728851365,1.0262951269948473,1.0228521719359398
2024-09-24 00:00:00,1.03831801474032,1.0144827188697876,1.030602177785738,1.0293950568416153
2024-09-25 00:00:00,1.0431109883586036,1.014061908484328,1.026493180575902,1.0291263320849655
2024-09-26 00:00:00,1.0441406770056665,1.0175100159184354,1.03684439536745,1.0329601766157408
2024-09-27 00:00:00,1.044223481921844,1.016284284019208,1.042906337645441,1.0323137618391374
2024-09-30 00:00:00,1.0519549885346318,1.0202557533402203,1.040700201865351,1.0372143697591745
2024-10-01 00:00:00,1.0357541173794662,1.0184588964609822,1.0279172699214227,1.0256869510030933
2024-10-02 00:00:00,1.03461450702009,1.0179520717091448,1.0263604979937082,1.0240469070401907
2024-10-03 00:00:00,1.0343710711064733,1.0193267896983866,1.0193179095900198,1.0188393630795374
2024-10-04 00:00:00,1.046321915207237,1.0235545543113362,1.0312242550304112,1.0295565015250443
2024-10-07 00:00:00,1.0329396022718484,1.0141756680833929,1.0210487719745254,1.0195462551220649
2024-10-08 00:00:00,1.039889389977969,1.0189074455236593,1.0192099885863013,1.0212147981520665
2024-10-09 00:00:00,1.044244464408273,1.0230134014448025,1.023753713105738,1.0255859891577428
2024-10-10 00:00:00,1.0405826092178838,1.0199048624774931,1.020264509401941,1.0220173098187395
2024-10-11 00:00:00,1.05091019921748,1.0358891159915389,1.0288095346917825,1.0316124051707447
2024-10-14 00:00:00,1.0517405351376132,1.0417685275004076,1.027843980693456,1.0339221139557973
2024-10-15 00:00:00,1.052321326256335,1.0400872837554311,1.0240409941095463,1.0359108442596652
2024-10-16 00:00:00,1.0532154282368424,1.0463105584345938,1.025931515449958,1.0369062612731124
2024-10-17 00:00:00,1.0545092678348742,1.0491468112514215,1.0274525716261844,1.0385300442344525
2024-10-18 00:00:00,1.060047025248532,1.0538799783276702,1.032594613231642,1.0438702851060273
2024-10-21 00:00:00,1.0583904237916577,1.0510041334372795,1.0297085447313763,1.0426130395634516
2024-10-22 00:00:00,1.062270302610366,1.050672378843856,1.0319117767628498,1.0463973455802578
2024-10-23 00:00:00,1.0458187512781971,1.0412425619126755,1.022105153627587,1.030136756396089
2024-10-24 00:00:00,1.0489416830302851,1.0620739514827364,1.0257231049661828,1.032352712107316
2024-10-25 00:00:00,1.0517298291919843,1.0660035711257156,1.0237163971602603,1.0354283275970957
2024-10-28 00:00:00,1.0573241023556583,1.0710756282938372,1.0298433097931574,1.040909284791951
2024-10-29 00:00:00,1.063179275370833,1.0738081029638904,1.0338429412950367,1.046639559443255
2024-10-30 00:00:00,1.0542223305839926,1.070705071000046,1.0248762517164764,1.0388741117910238
2024-10-31 00:00:00,1.0216651662890632,1.0516399011979884,1.0006732881706275,1.0090271947441014
2024-11-01 00:00:00,1.029888467308943,1.0585895347434178,1.0069652709982786,1.0202102984938632
2024-11-04 00:00:00,1.0261628595886316,1.0539753708973516,1.0034294669312287,1.016341628798677
2024-11-05 00:00:00,1.0458759482188678,1.0807623635981374,1.0152421949916013,1.0337182499043849
2024-11-06 00:00:00,1.077617976753916,1.106173172783938,1.027073547474098,1.0444871475223034
2024-11-07 00:00:00,1.1019464826715173,1.1208273656596472,1.0476547360117414,1.0753040762196158
2024-11-08 00:00:00,1.1106781461167736,1.123181155728486,1.0394466520543322,1.0692955277906755
2024-11-11 00:00:00,1.1112012602340735,1.1219691314378395,1.02871766708677,1.060823966220869
2024-11-12 00:00:00,1.0948775430898634,1.1075782639932013,1.0134235522350683,1.0468612696903068
2024-11-13 00:00:00,1.0817978002941782,1.1030244264126303,1.007359930062389,1.0370878078550174
2024-11-14 00:00:00,1.0566451225970592,1.0933132993141417,0.99543890056358,1.0155898358212
