method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,Jake__Wujastyk_20260320_161843,0.40165602434539704,0.22096381797806042,0.7305216174488759,0.5368648276127078,0.3879561324935925,0.3534041643334725
WO_BC_ANCHOR,Jake__Wujastyk_20260321_144810,0.3868731046271574,0.22096381797806042,0.7091982770847745,0.5368648276127078,0.37522880193890257,0.3534041643334725
WO_ENTRY_PEN,Jake__Wujastyk_20260321_194032,0.28977383428947556,0.22096381797806042,0.612948588159946,0.5368648276127078,0.355604214081062,0.3534041643334725
WO_FIDELITY,Jake__Wujastyk_20260321_162814,0.2154846372158583,0.22096381797806042,0.5306555225297223,0.5368648276127078,0.3705534450572826,0.3534041643334725
WO_HARD,Jake__Wujastyk_20260321_003328,0.9025665420219131,0.22096381797806042,1.39906927074743,0.5368648276127078,0.2652529327816788,0.3534041643334725
WO_MKT_FACTORS,Jake__Wujastyk_20260321_211641,0.4106586047973235,0.22096381797806042,0.7386094773983072,0.5368648276127078,0.3624505366774331,0.3534041643334725
WO_REV_PEN,Jake__Wujastyk_20260321_180404,0.3406236336587969,0.22096381797806042,0.6676196867690214,0.5368648276127078,0.3682187950659342,0.3534041643334725
WO_RL_COMPLETION,Jake__Wujastyk_20260321_162411,0.22119687643052055,0.22096381797806042,0.5371476451316617,0.5368648276127078,0.35331669494592466,0.3534041643334725
WO_SOFT,Jake__Wujastyk_20260321_131414,0.3792659782104848,0.22096381797806042,0.7021989958162115,0.5368648276127078,0.37016870413293046,0.3534041643334725
WO_REGIME_SPLIT,Jake__Wujastyk_20260321_225234,0.4654850393121097,0.22096381797806042,0.7884454037813247,0.5368648276127078,0.35387223105029386,0.3534041643334725
