file,source,kol,split,rows,state_dim,d_sig,d_sil,sil_sig_ratio,done_ratio,nan_total,inf_total,done_next_nonzero,non_done_next_zero,meta_len_ok,action_abs_mean,baseline_abs_mean,reward_mean,reward_std
x/EliteOptions2/test.pt,x,EliteOptions2,test,6566,1066,1084,5482,5.057195571955719,0.007158087100833654,0,0,0,0,True,0.030307644978165627,0.026809701696038246,0.000250187556957826,0.01468674372881651
x/EliteOptions2/train.pt,x,EliteOptions2,train,40343,1066,2294,38049,16.586312118570184,0.002156507922336459,0,0,1,0,True,0.014723744243383408,0.011636217124760151,2.8497390303527936e-05,0.009045302867889404
x/EliteOptions2/val.pt,x,EliteOptions2,val,5548,1066,978,4570,4.67280163599182,0.007390050683170557,0,0,0,0,True,0.03568853810429573,0.0315820537507534,0.00024394057982135564,0.01867256686091423
x/Stephanie_Link/test.pt,x,Stephanie_Link,test,11197,1066,421,10776,25.59619952494062,0.010806466452777386,0,0,0,0,True,0.012235419824719429,0.006889506708830595,-2.612897878861986e-05,0.005681443493813276
x/Stephanie_Link/train.pt,x,Stephanie_Link,train,68351,1066,999,67352,67.41941941941941,0.0036868515890091658,0,0,1,0,True,0.005852145608514547,0.002809534315019846,1.3537751328840386e-05,0.0035691868979483843
x/Stephanie_Link/val.pt,x,Stephanie_Link,val,9646,1066,391,9255,23.67007672634271,0.01161103043705225,0,0,0,0,True,0.013477088883519173,0.00749274343252182,8.16854735603556e-05,0.005801925901323557
x/Stocktwits/test.pt,x,Stocktwits,test,36089,1066,1333,34756,26.073518379594898,0.011610185727477074,0,0,0,0,True,0.005375599022954702,0.004168777726590633,8.939897270465735e-06,0.01538076251745224
x/Stocktwits/train.pt,x,Stocktwits,train,196286,1066,2988,193298,64.69143239625167,0.0031484670471400023,0,0,4,0,True,0.0028631689492613077,0.0020611248910427094,-1.4287386875366792e-05,0.009590585716068745
x/Stocktwits/val.pt,x,Stocktwits,val,23770,1066,787,22983,29.203303684879288,0.0092553636059165,0,0,0,0,True,0.007236011791974306,0.004824268165975809,2.5653096599853598e-05,0.01050613448023796
x/traderstewie/test.pt,x,traderstewie,test,4545,1066,171,4374,25.57894736842105,0.02684268355369568,0,0,0,0,True,0.020242024213075638,0.007750300690531731,1.6238131138379686e-05,0.013379978947341442
x/traderstewie/train.pt,x,traderstewie,train,54423,1066,637,53786,84.43642072213501,0.005990114528685808,0,0,0,0,True,0.004869265016168356,0.002264575334265828,-2.1393650968093425e-05,0.007845904678106308
x/traderstewie/val.pt,x,traderstewie,val,3666,1066,149,3517,23.604026845637584,0.020458264276385307,0,0,0,0,True,0.023186033591628075,0.009752873331308365,-5.380845323088579e-05,0.014526672661304474
youtube/Adam_Khoo/test.pt,youtube,Adam_Khoo,test,2433,1066,306,2127,6.950980392156863,0.04233456775546074,0,0,4,0,True,0.016074907034635544,0.011605091392993927,0.00033941990113817155,0.01974051631987095
youtube/Adam_Khoo/train.pt,youtube,Adam_Khoo,train,9771,1066,797,8974,11.259723964868256,0.011769521981477737,0,0,0,0,True,0.014220593497157097,0.010206125676631927,0.0007503613014705479,0.016193699091672897
youtube/Adam_Khoo/val.pt,youtube,Adam_Khoo,val,3287,1066,364,2923,8.030219780219781,0.026772132143378258,0,0,0,0,True,0.015841493383049965,0.011572128161787987,0.00027670999406836927,0.015877345576882362
youtube/Ale_s_World_of_Stocks/test.pt,youtube,Ale_s_World_of_Stocks,test,7486,1066,639,6847,10.715179968701095,0.016163505613803864,0,0,1,0,True,0.012708309106528759,0.009324162267148495,0.0004010018310509622,0.012820090167224407
youtube/Ale_s_World_of_Stocks/train.pt,youtube,Ale_s_World_of_Stocks,train,27779,1066,1309,26470,20.221543162719634,0.006443716585636139,0,0,0,0,True,0.008299858309328556,0.005908880848437548,1.0387892871221993e-05,0.009676184505224228
youtube/Ale_s_World_of_Stocks/val.pt,youtube,Ale_s_World_of_Stocks,val,6324,1066,598,5726,9.575250836120402,0.01691967062652111,0,0,0,0,True,0.013757116161286831,0.00985931046307087,0.000760618771892041,0.0174518134444952
youtube/Cameron_Stewart_CFA/test.pt,youtube,Cameron_Stewart_CFA,test,1377,1066,94,1283,13.648936170212766,0.039941903203725815,0,0,0,0,True,0.029048657044768333,0.012536430731415749,0.006055744830518961,0.137567400932312
youtube/Cameron_Stewart_CFA/train.pt,youtube,Cameron_Stewart_CFA,train,6252,1066,195,6057,31.06153846153846,0.012955853715538979,0,0,1,0,True,0.0191938579082489,0.006893652956932783,-0.00043415999971330166,0.011477483436465263
youtube/Cameron_Stewart_CFA/val.pt,youtube,Cameron_Stewart_CFA,val,723,1066,54,669,12.38888888888889,0.04287690296769142,0,0,0,0,True,0.04979253560304642,0.017645159736275673,-0.00017764259246177971,0.007832211442291737
youtube/Daniel_Pronk/test.pt,youtube,Daniel_Pronk,test,1076,1066,211,865,4.099526066350711,0.07527881115674973,0,0,41,0,True,0.04114968329668045,0.03044794127345085,0.0002314067678526044,0.019552966579794884
youtube/Daniel_Pronk/train.pt,youtube,Daniel_Pronk,train,7961,1066,356,7605,21.3623595505618,0.012058787047863007,0,0,0,0,True,0.014571033418178558,0.007470138370990753,6.564940122189e-05,0.011583445593714714
youtube/Daniel_Pronk/val.pt,youtube,Daniel_Pronk,val,868,1066,98,770,7.857142857142857,0.051843319088220596,0,0,1,0,True,0.03932086378335953,0.021590804681181908,-0.0008963946020230651,0.01544620469212532
youtube/Dividend_Data/test.pt,youtube,Dividend_Data,test,4948,1066,393,4555,11.59033078880407,0.02687954716384411,0,0,0,0,True,0.011974857188761234,0.0085032619535923,0.0004421478370204568,0.01076808013021946
youtube/Dividend_Data/train.pt,youtube,Dividend_Data,train,16522,1066,1023,15499,15.150537634408602,0.009078804403543472,0,0,0,0,True,0.00902983732521534,0.006246957927942276,0.0002454598725307733,0.011744686402380466
youtube/Dividend_Data/val.pt,youtube,Dividend_Data,val,4754,1066,390,4364,11.189743589743589,0.02355910837650299,0,0,0,0,True,0.013065490871667862,0.009402398020029068,0.00027905459864996374,0.011999220587313175
