ticker,total,pos,neg,neu,pos_pct,neg_pct,neu_pct
AAPL,34,16,4,14,0.47058823529411764,0.11764705882352941,0.4117647058823529
ABBV,4,3,0,1,0.75,0.0,0.25
ABNB,1,1,0,0,1.0,0.0,0.0
ABT,1,1,0,0,1.0,0.0,0.0
ACN,1,1,0,0,1.0,0.0,0.0
ADBE,3,2,0,1,0.6666666666666666,0.0,0.3333333333333333
ADSK,1,0,1,0,0.0,1.0,0.0
ALLE,1,1,0,0,1.0,0.0,0.0
AMAT,1,1,0,0,1.0,0.0,0.0
AMD,10,9,0,1,0.9,0.0,0.1
AMGN,1,1,0,0,1.0,0.0,0.0
AMT,1,1,0,0,1.0,0.0,0.0
APD,1,1,0,0,1.0,0.0,0.0
AVGO,11,11,0,0,1.0,0.0,0.0
BA,2,2,0,0,1.0,0.0,0.0
BAC,6,1,0,5,0.16666666666666666,0.0,0.8333333333333334
BIIB,2,2,0,0,1.0,0.0,0.0
BKNG,2,2,0,0,1.0,0.0,0.0
BLK,1,1,0,0,1.0,0.0,0.0
BRK-B,2,2,0,0,1.0,0.0,0.0
CAH,1,1,0,0,1.0,0.0,0.0
CAT,2,2,0,0,1.0,0.0,0.0
CB,2,2,0,0,1.0,0.0,0.0
CBOE,1,1,0,0,1.0,0.0,0.0
CF,2,2,0,0,1.0,0.0,0.0
CME,1,1,0,0,1.0,0.0,0.0
CMG,1,1,0,0,1.0,0.0,0.0
CMI,1,1,0,0,1.0,0.0,0.0
CRM,2,1,0,1,0.5,0.0,0.5
CRWD,2,2,0,0,1.0,0.0,0.0
CTAS,4,4,0,0,1.0,0.0,0.0
CVX,2,2,0,0,1.0,0.0,0.0
D,1,0,0,1,0.0,0.0,1.0
DAL,2,2,0,0,1.0,0.0,0.0
DASH,1,0,1,0,0.0,1.0,0.0
DELL,1,1,0,0,1.0,0.0,0.0
DG,1,0,0,1,0.0,0.0,1.0
DHI,1,0,1,0,0.0,1.0,0.0
DPZ,2,2,0,0,1.0,0.0,0.0
DRI,2,2,0,0,1.0,0.0,0.0
ENPH,2,2,0,0,1.0,0.0,0.0
FI,2,1,1,0,0.5,0.5,0.0
GD,3,3,0,0,1.0,0.0,0.0
GILD,2,2,0,0,1.0,0.0,0.0
GM,1,0,0,1,0.0,0.0,1.0
GOOG,7,4,0,3,0.5714285714285714,0.0,0.42857142857142855
GS,1,0,0,1,0.0,0.0,1.0
HAL,1,1,0,0,1.0,0.0,0.0
HD,9,6,1,2,0.6666666666666666,0.1111111111111111,0.2222222222222222
HPQ,1,1,0,0,1.0,0.0,0.0
HSY,2,2,0,0,1.0,0.0,0.0
HUM,1,1,0,0,1.0,0.0,0.0
INTC,4,3,0,1,0.75,0.0,0.25
ISRG,3,3,0,0,1.0,0.0,0.0
IT,2,1,0,1,0.5,0.0,0.5
IVZ,2,2,0,0,1.0,0.0,0.0
JNJ,3,3,0,0,1.0,0.0,0.0
