date,KICL,WO_HARD,WO_RL_COMPLETION,WO_REGIME_SPLIT,Baseline
2024-09-10,0.9357658640292588,0.9137572474659366,0.952634619329265,0.9481819355080944,0.952682633148446
2024-09-11,0.9595336996544114,0.935452381102592,0.9786199313216613,0.9716957990439816,0.9786712549234452
2024-09-12,0.9620537554730816,0.9369045158973498,0.9848916094898847,0.973718060500272,0.984955870365278
2024-09-13,0.963047268526796,0.9405487565433028,0.990463790186242,0.9705121022872736,0.9905278673417428
2024-09-16,0.9479260968853304,0.938188135936104,0.9802036512217682,0.9701058789458438,0.9802511209530048
2024-09-17,0.946793092227849,0.938927507423621,0.984246677236398,0.9631293279478538,0.9842861040190128
2024-09-18,0.9505314364409854,0.9403836442757104,0.9855585976530644,0.9670376843419276,0.9856048862709266
2024-09-19,0.9881008925489017,0.9722635805211072,1.0196610387887743,1.003406031268672,1.0197166953805976
2024-09-20,0.9902512695666852,0.9750301167052866,1.021880099291882,1.0055897164423384,1.0219358770076277
2024-09-23,1.0151632653830025,0.996774152814556,1.0475877893910592,1.0308875853558568,1.047644970320579
2024-09-24,1.0469524481718733,0.9989111555159712,1.0710162313368723,1.0715639255135374,1.0710902578243622
2024-09-25,1.021377986140862,0.9945055841487174,1.0448539505277017,1.045388265888595,1.044926168730969
2024-09-26,1.0540090753708722,0.9961659452300436,1.0773481858406868,1.0641952834374064,1.077529678319862
2024-09-27,1.059179928543165,1.0077674240893353,1.0826335381346963,1.069416109031688,1.0828159209961117
2024-09-30,1.0428234557229767,0.9960697119309608,1.0703846810740851,1.0392970970990063,1.070555625145124
2024-10-01,1.0153678035962603,1.0010907606671573,1.0618681777730654,0.9926468822387096,1.0620012008775737
2024-10-02,1.011104301125512,1.005613462194996,1.0665167831089977,0.9967560895074328,1.0666545229022757
2024-10-03,1.025028100939455,1.016011667766162,1.0796951471352465,1.0095308120339113,1.0798345889037444
2024-10-04,1.0404269570626656,1.0313542040514487,1.0953341686925857,1.024396880470027,1.0954756302282649
2024-10-07,1.023860859327945,1.0228618953494235,1.07857732189344,1.00838789054577,1.0787166192956985
2024-10-08,1.046064178744974,1.0288774215414385,1.1007712968740562,1.029653820887786,1.1009134606105102
2024-10-09,1.060490299201847,1.036326688880524,1.115266728659713,1.0435492262719543,1.1154107644696396
2024-10-10,1.0765706332421454,1.0455629601528555,1.130467288850184,1.0581996738138837,1.1306132878003547
2024-10-11,1.0845178213996238,1.0516943870461173,1.13866947984558,1.0659010713488646,1.1388165381021866
2024-10-14,1.0872567426772826,1.0569903268292566,1.142128803808035,1.0688920826677666,1.1422763088335768
2024-10-15,1.0682433236480828,1.0339940591680414,1.1231622028020911,1.05092144939829,1.1233072583062162
2024-10-16,1.0781953544606218,1.0382601393330997,1.1331197335216765,1.0602014341103785,1.1332660750329644
2024-10-17,1.0873466071669895,1.0430623758772748,1.141873928933149,1.0685796616955583,1.1420214010418035
2024-10-18,1.09490987113134,1.0445260956981457,1.1494945541345527,1.0758964894197272,1.149643010440884
2024-10-21,1.0872247030774294,1.0463197004558886,1.1419866751668155,1.0687507465985395,1.1421341618365566
2024-10-22,1.0863467824620503,1.0446284994147017,1.141093148884378,1.067963314430597,1.141240520155911
2024-10-23,1.066643722890216,1.0297203423229178,1.1213283230091613,1.0492040682566055,1.121473141669171
2024-10-24,1.081402894798486,1.0417688096274953,1.1356571716614894,1.0629785269161496,1.1358038408808926
2024-10-25,1.0954727730839409,1.052094080199676,1.1490576026158508,1.0759839291030706,1.149206002490241
2024-10-28,1.0934602458801137,1.0485855629934109,1.1474601347097249,1.0743881305701184,1.1476083282724072
2024-10-29,1.0894555070531378,1.0528901182247985,1.137620444243706,1.0675492614476267,1.1376029555706062
2024-10-30,1.0667075178093377,1.0129622030778138,1.1029513324235207,1.0416749497174032,1.102920005238844
2024-10-31,1.0455054250883482,0.9878529442170848,1.081028850368827,1.0209704093440524,1.0809981458495608
2024-11-01,1.052763549683828,0.9942382836196876,1.0884857000879862,1.0281822466551789,1.0884547837714251
2024-11-04,1.0383584152221652,0.989011314252401,1.0735917736464091,1.0141134621511845,1.073561280362824
2024-11-05,1.0516012399854957,1.006075698636623,1.087283951142472,1.0270470760869168,1.08725306895925
2024-11-06,1.0057322919639249,1.010812178237098,1.0398585876650288,0.9822491363760556,1.0398290525068987
2024-11-07,1.0385204404186852,1.029736399818142,1.0737592966476746,1.0142717041710785,1.0737287986059252
2024-11-08,0.9830427994828242,1.020233574165904,1.0163992001175124,0.960089427900501,1.0163703312776002
2024-11-11,0.9659484587515648,1.0331779985446023,0.99872481782721,0.9433942282391582,0.9986964509937072
2024-11-12,0.9222235264787892,1.0103135047201437,0.9535162203880932,0.9006902429876078,0.95348913761676
2024-11-13,0.918354840329172,1.0027188099421618,0.9495162627971874,0.8969118879922133,0.94948929363686
2024-11-14,0.8863810949275731,0.9903368101609475,0.9164575910200856,0.8656847075005732,0.9164315608269504
2024-11-15,0.8874075207025234,0.9778851781510888,0.9175188452576308,0.8666871669413756,0.9174927849216356
2024-11-18,0.8938389696038735,0.9823243196854724,0.9241685247246568,0.8729684459452166,0.9241422755174664
2024-11-19,0.9180617141917844,1.0026136037593727,0.9492131903656198,0.89662560614803,0.9491862298134744
2024-11-20,0.92499586244568,1.01006576235387,0.9563826266734424,0.9033978468211342,0.9563554624874204
2024-11-21,0.9499906707806854,1.0211740040330788,0.9822255535654916,0.927809043614868,0.9821976553614588
2024-11-22,0.9448440411429996,1.0255152802049512,0.976904289578006,0.9227825842307382,0.976876542514114
2024-11-25,0.9638296946675694,1.038979707806099,0.9965341602878398,0.9413249358356848,0.9965058556756982
2024-11-26,0.961419549845868,1.0447343935738929,0.97577135702154,0.9290349235048412,0.975700674554252
2024-11-27,0.9665614152666118,1.0600034376729344,0.9885536238204652,0.9444879070931772,0.9885318887118686
2024-11-29,0.9714303502718744,1.062897084616406,0.991928413205576,0.9504041568169578,0.9918957075947992
2024-12-02,0.9685252739986234,1.0614905217830302,0.9924965928009788,0.9479715418288192,0.992376873586688
2024-12-03,0.9690787331898424,1.0577525334294966,0.9885451193294664,0.9491082146099205,0.9884439917188208
2024-12-04,1.0004602364282706,1.0734983596438468,1.0012467497044375,0.9698667565317732,1.0012370784377962
