method,run_name,trained_cumulative_return,baseline_cumulative_return,trained_sharpe,baseline_sharpe,trained_max_drawdown,baseline_max_drawdown
KICL,Dividend_Data_20260316_014416,0.4899202457257912,0.48125870312490404,2.556927676468013,2.6047835422690784,0.08961999051414783,0.07543161598523859
WO_BC_ANCHOR,Dividend_Data_20260321_144810,0.6490361327623462,0.48125870312490404,3.1473867297271694,2.6047835422690784,0.07418410156261482,0.07543161598523859
WO_ENTRY_PEN,Dividend_Data_20260321_194032,0.4671815860951136,0.48125870312490404,2.412389006726336,2.6047835422690784,0.07845817265072381,0.07543161598523859
WO_FIDELITY,Dividend_Data_20260321_162814,0.5619287992804445,0.48125870312490404,2.8684529908303493,2.6047835422690784,0.07888295733180577,0.07543161598523859
WO_HARD,Dividend_Data_20260321_011754,0.39876229381723927,0.48125870312490404,2.9291652388248903,2.6047835422690784,0.05013580119480888,0.07543161598523859
WO_MKT_FACTORS,Dividend_Data_20260321_211642,0.566503022318906,0.48125870312490404,2.828617257196686,2.6047835422690784,0.07354409627447026,0.07543161598523859
WO_REV_PEN,Dividend_Data_20260321_180405,0.517376414311338,0.48125870312490404,2.6448776476266835,2.6047835422690784,0.08708073101690025,0.07543161598523859
WO_RL_COMPLETION,Dividend_Data_20260321_162411,0.4814320071978073,0.48125870312490404,2.6055296118321998,2.6047835422690784,0.07525587356333203,0.07543161598523859
WO_SOFT,Dividend_Data_20260321_032148,0.5181948412176218,0.48125870312490404,2.640765102038973,2.6047835422690784,0.07354409625300365,0.07543161598523859
WO_REGIME_SPLIT,Dividend_Data_20260321_225234,0.41729611417234924,0.48125870312490404,2.1871902763677857,2.6047835422690784,0.08445393667136276,0.07543161598523859
