kol,rows,file
RaoulGMI,2916,original_RaoulGMI.jsonl
CryptoCapo_,2610,original_CryptoCapo_.jsonl
traderstewie,2593,original_traderstewie.jsonl
LynAldenContact,2591,original_LynAldenContact.jsonl
eWhispers,2512,original_eWhispers.jsonl
LLuciano_BTC,2451,original_LLuciano_BTC.jsonl
DKThomp,2203,original_DKThomp.jsonl
fundstrat,2185,original_fundstrat.jsonl
tracyalloway,2183,original_tracyalloway.jsonl
Rayner_Teo,2176,original_Rayner_Teo.jsonl
safalniveshak,2084,original_safalniveshak.jsonl
TikTokInvestors,2067,original_TikTokInvestors.jsonl
TaviCosta,2046,original_TaviCosta.jsonl
themotleyfool,2033,original_themotleyfool.jsonl
balajis,1987,original_balajis.jsonl
ARKInvest,1959,original_ARKInvest.jsonl
jasondebolt,1952,original_jasondebolt.jsonl
DavidSacks,1942,original_DavidSacks.jsonl
typesfast,1776,original_typesfast.jsonl
jasonzweigwsj,1767,original_jasonzweigwsj.jsonl
tradingview,1716,original_tradingview.jsonl
EconguyRosie,1715,original_EconguyRosie.jsonl
herbgreenberg,1694,original_herbgreenberg.jsonl
coinbase,1633,original_coinbase.jsonl
waitbutwhy,1628,original_waitbutwhy.jsonl
100trillionUSD,1587,original_100trillionUSD.jsonl
EPBResearch,1559,original_EPBResearch.jsonl
Trader_Dante,1539,original_Trader_Dante.jsonl
heydave7,1502,original_heydave7.jsonl
ShaanVP,1468,original_ShaanVP.jsonl
GavinSBaker,1463,original_GavinSBaker.jsonl
FerroTV,1419,original_FerroTV.jsonl
VCBrags,1360,original_VCBrags.jsonl
nikitabier,1319,original_nikitabier.jsonl
novogratz,1129,original_novogratz.jsonl
matt_levine,1078,original_matt_levine.jsonl
leadlagreport,1044,original_leadlagreport.jsonl
chamath,1027,original_chamath.jsonl
muddywatersre,1001,original_muddywatersre.jsonl
SaraEisen,960,original_SaraEisen.jsonl
tylercowen,951,original_tylercowen.jsonl
BillAckman,880,original_BillAckman.jsonl
