kol_username,influence_score,tweets,followers_max,views_sum,likes_sum,retweets_sum,replies_sum,quotes_sum,bookmarks_sum,views_avg,likes_avg,retweets_avg,replies_avg
matt_levine,8.856913,2552,319773,47252312,355721,25985,16245,9329,20722,18515.7962,139.3891,10.1822,6.3656
iancassel,8.847512,5879,283475,87053526,968966,108511,42922,12840,119373,14807.5397,164.8182,18.4574,7.3009
jaltucher,8.779194,2296,222373,31173939,432455,45185,24930,4528,29850,13577.4996,188.3515,19.6799,10.858
EricBalchunas,8.760136,33055,397358,525282802,2377616,279011,222690,60042,135981,15891.1754,71.9291,8.4408,6.737
GerberKawasaki,8.744366,32704,414587,263903559,4016597,235414,588463,41551,35345,8069.4581,122.8167,7.1983,17.9936
Mr_Derivatives,8.743077,82081,330440,1538714463,7530257,321522,1135992,45467,408528,18746.2928,91.7418,3.9171,13.8399
GavinSBaker,8.700361,5637,220349,162758407,501710,42240,34062,8578,104617,28873.2317,89.003,7.4933,6.0426
tylercowen,8.684388,1452,261567,33864513,111108,11093,8170,3483,22139,23322.6674,76.5207,7.6398,5.6267
VCBrags,8.675075,15672,274076,247125423,2249283,72990,65390,16805,93487,15768.5951,143.5224,4.6574,4.1724
iamtomnash,8.66337,15096,157195,190237534,3522982,220758,291720,20486,97173,12601.8504,233.3719,14.6236,19.3243
Cokedupoptions,8.649327,19785,216495,140755889,5411251,324285,155630,33294,65883,7114.2729,273.5027,16.3904,7.8661
The_Real_Fly,8.64493,73553,216621,915958342,8006814,1397696,992652,266571,374559,12453.0385,108.8577,19.0026,13.4957
CheddarFlow,8.637847,26613,327311,370158455,1836947,205343,199611,39008,135464,13908.9338,69.0244,7.7159,7.5005
CNBCFastMoney,8.62527,7745,452664,104792760,271473,56202,61910,13106,22375,13530.3757,35.0514,7.2566,7.9935
Trader_Dante,8.621696,6481,323516,43593309,879383,78175,44267,6966,128370,6726.3245,135.6863,12.0622,6.8303
saxena_puru,8.608024,18968,390309,149659484,1724055,125225,144876,15824,161326,7890.1035,90.8928,6.6019,7.6379
traderstewie,8.583048,12151,459628,128732087,646813,50255,59127,4817,67888,10594.3615,53.2313,4.1359,4.866
Rayner_Teo,8.570615,2900,211025,14154496,602191,85030,39467,2843,51753,4880.8607,207.6521,29.3207,13.6093
Overdose_AI,8.561409,15486,167763,249638209,1311761,202381,474577,12664,50749,16120.2511,84.7063,13.0686,30.6456
CMEGroup,8.54907,3338,703288,32608176,67752,20825,7149,3675,4976,9768.7765,20.2972,6.2388,2.1417
DanZanger,8.5378,583,239609,7418491,63780,4323,1618,362,5950,12724.6844,109.3997,7.4151,2.7753
tracyalloway,8.537515,5465,206480,67679326,544652,70433,35576,16191,34597,12384.1402,99.6618,12.888,6.5098
DiMartinoBooth,8.522388,29344,330484,312457761,1541477,222013,235071,26283,71727,10648.0971,52.5312,7.5659,8.0109
TraderLion,8.497527,224,217276,2385557,22811,2114,1514,140,5733,10649.808,101.8348,9.4375,6.7589
MarketScientist,8.496364,9316,297013,81730793,718729,76172,49894,2513,101150,8773.1637,77.15,8.1765,5.3557
LukeGromen,8.491505,37279,389764,250186715,2337615,287171,197634,31684,197303,6711.1971,62.7059,7.7033,5.3015
martypartymusic,8.462751,80274,245100,707568771,6883663,700735,612893,68197,389097,8814.4202,85.7521,8.7293,7.635
RealVision,8.449589,19909,395638,199043400,674218,104125,122849,16287,58160,9997.6594,33.865,5.23,6.1705
RyanDetrick,8.431852,18550,205847,209885222,1350909,192154,121488,23057,173418,11314.5672,72.8253,10.3587,6.5492
benthompson,8.410116,2514,260011,20126482,223543,16667,8252,2564,14442,8005.7605,88.9193,6.6297,3.2824
Stephanie_Link,8.410079,3587,203672,31871060,330333,27591,39548,3492,9318,8885.1575,92.0917,7.6919,11.0254
ChrisCamillo,8.398499,4274,223126,49880809,323276,15781,33277,2471,28806,11670.7555,75.6378,3.6923,7.7859
FerroTV,8.396452,2553,203840,17845584,227557,39806,21509,6480,8346,6990.0447,89.1332,15.5919,8.425
bespokeinvest,8.324525,18483,258295,218638879,629621,123338,73002,21848,64251,11829.1878,34.0649,6.6731,3.9497
TheShortBear,8.318704,13950,189414,172842442,864872,69380,78369,8240,227048,12390.1392,61.998,4.9735,5.6178
Bulls_Crypt0,8.245036,21580,582704,9382680,750461,1877615,3337153,36534,17143,434.7859,34.7758,87.0072,154.641
AdamMancini4,8.237572,50534,222682,531127363,2450042,135466,234411,11725,139445,10510.2973,48.483,2.6807,4.6387
bbands,8.218584,3934,276192,18432708,237369,19666,20587,3723,9104,4685.4875,60.3378,4.999,5.2331
alphatrends,8.210493,21098,387794,109790133,721395,62514,71579,6160,100172,5203.8171,34.1926,2.963,3.3927
safalniveshak,8.203332,5228,218774,26756665,365784,38367,23564,3135,52538,5117.9543,69.9663,7.3388,4.5073
Jake__Wujastyk,8.164039,66467,381786,321671541,2264244,143776,232581,11881,148257,4839.5676,34.0657,2.1631,3.4992
JeffSnider_EDU,8.159553,8707,135755,66422343,640790,99139,37166,12297,47376,7628.6141,73.5948,11.3861,4.2685
BobEUnlimited,8.132579,36553,205245,338545779,1317094,133325,145812,21181,208997,9261.7782,36.0324,3.6474,3.9891
muddywatersre,8.08756,3736,247156,21454407,135049,13315,15403,3235,10671,5742.6143,36.148,3.564,4.1229
10kdiver,8.061316,5953,280983,10689046,445747,58994,15757,6534,172664,1795.573,74.8777,9.91,2.6469
packyM,8.016622,32629,219772,192627020,1328179,65037,99294,22015,172567,5903.5527,40.7055,1.9932,3.0431
fintechfrank,8.011814,23151,204033,81213387,1364645,96625,139835,26422,32093,3507.9861,58.9454,4.1737,6.0401
EPBResearch,7.982279,8049,126271,59618309,380367,52585,31020,7992,51119,7406.9212,47.2564,6.5331,3.8539
Pjmatlock,7.943136,18,289099,98753,502,3,59,1,3,5486.2778,27.8889,0.1667,3.2778
Ritholtz,7.928633,18465,243022,76134071,492713,63696,62111,10735,42683,4123.1558,26.6836,3.4496,3.3637
IBDinvestors,7.924694,16281,429288,107625370,103746,21243,32198,3264,16087,6610.4889,6.3722,1.3048,1.9776
jasonzweigwsj,7.905235,4165,234415,15300704,127257,14885,11001,3505,19953,3673.6384,30.5539,3.5738,2.6413
ACInvestorBlog,7.812427,52621,211848,177182968,1427230,132217,226869,16698,38458,3367.1532,27.1228,2.5126,4.3114
KennethLFisher,7.780409,9643,426620,18905669,135998,20136,13529,1754,9768,1960.5589,14.1033,2.0881,1.403
goldseek,7.746363,39788,104883,132813357,2219824,233574,216624,21066,58708,3338.0255,55.7913,5.8705,5.4445
petenajarian,7.651015,22110,212959,57444380,401971,46475,74546,9919,3637,2598.1176,18.1805,2.102,3.3716
herbgreenberg,7.590281,5749,350759,13094088,44608,4789,11761,1376,3101,2277.6288,7.7593,0.833,2.0457
howardlindzon,7.538497,38926,277548,79913328,472950,21544,87204,4273,20800,2052.955,12.15,0.5535,2.2403
Cboe,7.475243,7685,578356,10265108,23495,7170,4382,1365,3395,1335.733,3.0573,0.933,0.5702
QTRResearch,5.031602,1,290396,0,0,0,0,0,0,0.0,0.0,0.0,0.0
