scope,d_sig,d_sil,d_total,rho_sig,rho_sil,sil_sig_ratio,kol,split
Ticker_Take::test,142,1041,1183,0.12003381234150465,0.8799661876584953,7.330985915492958,Ticker_Take,test
Ticker_Take::train,333,5849,6182,0.05386606276285991,0.9461339372371401,17.564564564564563,Ticker_Take,train
Ticker_Take::val,140,990,1130,0.12389380530973451,0.8761061946902655,7.071428571428571,Ticker_Take,val
Tom_Nash::test,266,2199,2465,0.10791075050709939,0.8920892494929006,8.266917293233083,Tom_Nash,test
Tom_Nash::train,588,10988,11576,0.05079474775397374,0.9492052522460263,18.687074829931973,Tom_Nash,train
Tom_Nash::val,260,2607,2867,0.09068712940355772,0.9093128705964423,10.026923076923078,Tom_Nash,val
Unrivaled_Investing::test,59,1001,1060,0.05566037735849057,0.9443396226415094,16.966101694915253,Unrivaled_Investing,test
Unrivaled_Investing::train,272,7415,7687,0.0353844152465201,0.9646155847534799,27.261029411764707,Unrivaled_Investing,train
Unrivaled_Investing::val,98,1149,1247,0.07858861267040898,0.921411387329591,11.724489795918368,Unrivaled_Investing,val
traderstewie::test,171,4374,4545,0.03762376237623762,0.9623762376237623,25.57894736842105,traderstewie,test
traderstewie::train,637,53786,54423,0.011704610183194606,0.9882953898168054,84.43642072213501,traderstewie,train
traderstewie::val,149,3517,3666,0.04064375340971085,0.9593562465902892,23.604026845637584,traderstewie,val
