method,run_name,cumulative_return,sharpe,max_drawdown
KICL,Stocktwits_20260320_161844,0.2548348756320491,0.7621173320267859,0.2942407090937647
WO_BC_ANCHOR,Stocktwits_20260321_144810,0.19113184354213764,0.6624985915457695,0.4483678976955696
WO_ENTRY_PEN,Stocktwits_20260321_194032,0.12108196792867698,0.5600210529226226,0.37750926609176877
WO_FIDELITY,Stocktwits_20260321_162814,-0.5512918086159624,-0.43256304587327055,0.7084743021053638
WO_HARD,Stocktwits_20260321_003327,0.05165755725514054,0.39117294011199716,0.1067721309260596
WO_MKT_FACTORS,Stocktwits_20260321_211641,0.03644217876327005,0.39529771845117284,0.3976754780313387
WO_REV_PEN,Stocktwits_20260321_180404,0.31912153714883007,0.8549202452232393,0.29793326967554806
WO_RL_COMPLETION,Stocktwits_20260321_162411,-0.16783974497977316,-0.1658041042044343,0.47194744540731937
WO_SOFT,Stocktwits_20260321_131414,0.9693192696728197,1.612463933836968,0.22006540545232128
WO_REGIME_SPLIT,Stocktwits_20260321_225234,0.01145220158042104,0.4805300966263993,0.5343186623071956
